epoch,score_best,score_avg,score_std
10,992.6019,991.53687,0.42663765
20,986.00037,984.1896,0.9107241
30,985.82324,982.7312,1.1912357
40,984.9057,982.3312,1.1085486
50,985.4594,982.6949,1.0398937
60,987.18994,984.35205,1.1452817
70,986.986,984.8379,0.9913835
80,988.34436,986.46155,0.724009
90,988.90466,986.34424,0.843551
100,988.87585,987.2268,0.62087667
110,989.3192,987.7658,0.6430054
120,989.595,988.28064,0.6207676
130,989.3733,988.1896,0.584966
140,990.6726,989.36304,0.49578592
150,990.2356,989.03784,0.58990926
160,990.8386,989.7287,0.45777273
170,991.92664,990.75604,0.43841127
180,991.5212,990.70435,0.38910758
190,992.4105,991.26587,0.40219605
200,992.0811,991.11096,0.40491477
210,991.9324,991.1354,0.36984995
220,992.41223,991.32825,0.40849262
230,992.7964,992.0591,0.32743454
240,992.70416,991.875,0.38308263
250,992.5425,991.8048,0.3362455
260,992.7905,992.1965,0.34769657
270,993.2359,992.2417,0.31146193
280,993.34375,992.69714,0.27560943
290,993.36163,992.6645,0.2976525
300,993.2129,992.52167,0.27470762
310,993.40485,992.73535,0.27915293
320,993.458,992.7711,0.26702267
330,993.4907,992.9431,0.26101863
340,993.5341,992.8937,0.28434435
350,994.23676,993.14185,0.25563213
360,994.12537,993.2091,0.26842052
370,993.96735,993.3076,0.22936364
380,993.9252,993.3809,0.2688056
390,993.938,993.4192,0.25954196
400,994.16284,993.6279,0.23105976
410,993.8419,993.3849,0.2169846
420,994.131,993.50433,0.24110697
430,994.12305,993.4809,0.25207084
440,994.22705,993.5608,0.2553037
450,994.2494,993.7388,0.21181326
460,994.5575,993.70087,0.22939697
470,994.1927,993.692,0.21357724
480,994.2046,993.7222,0.20865327
490,994.1564,993.75684,0.2011271
500,994.308,993.6776,0.25290427
510,994.3111,993.9144,0.18652292
520,994.2628,993.744,0.23481078
530,994.177,993.7834,0.18557501
540,994.1835,993.69135,0.1963687
550,994.4268,993.805,0.18728574
560,994.2993,993.76624,0.2098298
570,994.3523,993.911,0.18744351
580,994.22534,993.79626,0.21052143
590,994.4362,993.94507,0.17017613
600,994.4508,993.90765,0.19120583
610,994.4637,994.0167,0.18371306
620,994.39246,994.0465,0.17368263
630,994.47974,994.01587,0.18732429
640,994.5383,993.9696,0.18508519
650,994.53033,994.0515,0.19080548
660,994.3687,993.9298,0.1672892
670,994.5673,994.08826,0.16605008
680,994.48065,994.00305,0.21233743
690,994.59753,994.0878,0.22277075
700,994.55743,994.11633,0.20190127
710,994.7363,994.2841,0.21060154
720,994.9885,994.3511,0.20269959
730,994.8422,994.39886,0.19349211
740,994.9144,994.36005,0.19553237
750,994.9369,994.4194,0.19202976
760,994.99884,994.5786,0.20216309
