epoch,score_best,score_avg,score_std
10,993.2893,992.37476,0.27329117
20,988.7978,986.04785,0.8879531
30,982.8766,980.12244,1.3487004
40,984.08234,981.0237,1.287762
50,984.8714,981.5593,1.3516269
60,987.2439,984.2611,1.1316699
70,988.4165,985.521,1.1155244
80,988.2121,986.394,1.0033721
90,988.19037,986.4965,0.88580436
100,988.8557,987.36804,0.6902902
110,989.3493,988.04364,0.5778514
120,989.963,988.80536,0.5682537
130,990.61383,989.14044,0.5814129
140,989.96466,989.01184,0.43317613
150,991.0838,990.13025,0.40508404
160,991.36743,990.15845,0.39446563
170,991.4044,990.2562,0.39669353
180,991.644,990.5798,0.3374107
190,991.8563,990.85,0.36221045
200,992.03894,991.2,0.3265683
210,992.3617,991.5989,0.3227093
220,992.65063,991.6039,0.36309156
230,992.33124,991.55817,0.32752833
240,992.6268,992.0537,0.27811572
250,992.86615,992.33685,0.28502128
260,992.7965,992.0266,0.31349918
270,993.2135,992.5448,0.30622992
280,993.4272,992.52594,0.29609415
290,993.3645,992.6642,0.28216904
300,993.7496,992.91785,0.26647812
310,993.69556,992.942,0.28081506
320,993.8976,993.04016,0.27650762
330,993.9108,993.1498,0.30538973
340,993.7134,993.11,0.25578913
350,993.9113,993.14246,0.31157017
360,994.0754,993.4409,0.282105
370,993.75635,993.23303,0.24721512
380,994.07166,993.53906,0.25967008
390,994.3031,993.50995,0.27228397
400,994.23816,993.52954,0.24771939
410,994.29785,993.7647,0.23732257
420,994.4525,993.78784,0.24798459
430,994.75806,993.79913,0.2626543
440,994.8262,993.8977,0.30343795
450,994.59204,993.96094,0.23868805
460,994.8695,994.06647,0.23408379
470,994.8505,994.1992,0.24759862
480,994.8508,994.2478,0.22280914
490,994.43225,993.9939,0.23833099
500,995.003,994.4473,0.22218361
510,994.9472,994.22974,0.23293509
520,994.9002,994.34143,0.22831212
530,994.79297,994.1701,0.22482783
540,994.92334,994.2706,0.22259517
550,994.9103,994.38513,0.2186684
560,994.93823,994.38354,0.22649793
570,995.1032,994.64087,0.20971212
580,995.16534,994.63403,0.21016663
590,995.14465,994.7189,0.21862721
600,995.3655,994.688,0.21525504
610,995.5076,994.93475,0.20724794
620,995.54944,994.9541,0.21200559
630,995.5635,995.1183,0.2033986
640,995.7763,995.2521,0.23558164
650,995.7615,995.21814,0.2379027
660,995.61664,995.04974,0.21484458
670,995.781,995.2743,0.20253308
680,995.9567,995.35425,0.22847037
690,996.1643,995.4844,0.2514978
700,996.2469,995.6166,0.22540839
710,996.0285,995.46924,0.25456583
720,995.81104,995.34796,0.22871538
730,996.02655,995.50134,0.20055081
740,996.19543,995.746,0.18237051
750,996.4418,995.96594,0.19295128
760,996.7592,996.16565,0.1961177
770,996.8627,996.31274,0.22500832
780,997.1427,996.62476,0.20769285
790,997.5014,996.87054,0.22872701
800,997.4624,996.8766,0.23223734
810,997.47577,997.0821,0.21245213
820,997.857,997.32385,0.19883452
830,997.71515,997.3336,0.20083772
840,998.04407,997.4581,0.23431839
850,998.01263,997.454,0.20864661
860,998.0643,997.4613,0.22222693
870,998.1711,997.6543,0.22480309
880,998.1402,997.6146,0.20498264
890,998.2053,997.67883,0.22929151
900,998.2602,997.7377,0.21544112
910,998.28156,997.8177,0.19739404
920,998.3217,997.7804,0.2248873
930,998.5199,997.86914,0.22794254
940,998.44586,998.00854,0.21134295
950,998.4313,997.93774,0.22275838
960,998.5249,998.0138,0.21019481
970,998.7843,998.26025,0.18764195
980,998.79175,998.159,0.20508064
990,998.65753,998.2497,0.19976024
1000,998.7868,998.34235,0.17494972
1010,999.09485,998.5394,0.1976114
1020,998.7922,998.38367,0.18748921
1030,998.89935,998.38885,0.19996907
1040,998.9603,998.4934,0.20632514
1050,999.0626,998.6326,0.20840342
1060,999.10486,998.6631,0.17085274
1070,999.23254,998.62286,0.21604191
1080,999.0873,998.6696,0.20298916
1090,999.3268,998.69165,0.21898666
1100,999.23846,998.71155,0.20892097
1110,999.5597,998.84766,0.220008
1120,999.43256,998.8218,0.21616301
1130,999.4423,998.8161,0.19268347
1140,999.4043,998.89734,0.19430925
1150,999.44305,998.8578,0.23030123
1160,999.54395,999.0182,0.19729576
1170,999.63153,999.073,0.20812982
1180,999.584,999.05963,0.21671198
1190,999.68524,999.127,0.21693881
1200,999.60504,999.222,0.1741408
1210,999.7879,999.3794,0.20553014
1220,1000.0439,999.40186,0.19763206
1230,999.9324,999.42426,0.18851721
1240,1000.0428,999.5139,0.19053333
1250,1000.19226,999.57886,0.19672152
1260,1000.2329,999.6625,0.203703
1270,1000.2185,999.807,0.1937426
1280,1000.5335,999.85785,0.22331299
1290,1000.51434,1000.03265,0.22715914
1300,1000.81433,1000.3019,0.20761296
1310,1002.7791,1001.9424,0.3118577
1320,1005.18805,1004.02734,0.45724082
1330,1016.0386,1011.6695,1.5329704
1340,1032.451,1028.042,1.8147188
1350,1043.2219,1037.9429,2.1335273
1360,1048.5154,1043.2214,2.2319672
1370,1059.5194,1055.2131,2.184486
1380,1072.2034,1066.3579,2.637199
1390,1085.1151,1079.302,2.5239942
1400,1096.2672,1089.5648,3.4523048
1410,1104.0593,1096.6929,3.8100846
1420,1113.4191,1103.8806,4.897811
1430,1115.5255,1106.2705,4.8417616
1440,1119.9,1110.9774,5.1001143
1450,1122.6943,1113.998,4.9769893
1460,1126.3723,1117.698,5.6475873
1470,1131.27,1122.6099,5.1206093
1480,1135.5575,1128.0634,4.948618
1490,1141.1505,1132.5195,5.2762637
1500,1147.7811,1138.6274,5.383511
1510,1150.7329,1142.3943,5.1429214
1520,1157.6948,1149.2773,5.4223933
1530,1168.5419,1157.9203,5.577746
1540,1176.8479,1165.1597,6.8976283
1550,1185.3157,1171.9219,7.343976
1560,1189.8875,1177.7998,7.171457
1570,1197.0592,1185.6687,5.611271
1580,1204.6187,1195.3779,6.494109
1590,1219.23,1208.5278,7.517009
1600,1231.2335,1219.7012,7.5691566
1610,1243.1506,1227.9026,9.265243
1620,1253.7115,1240.4924,8.967167
1630,1265.0764,1253.7251,9.14841
1640,1282.547,1269.2374,9.38603
1650,1301.6688,1290.0278,7.4991546
1660,1325.3237,1308.7935,11.900033
1670,1351.175,1335.8733,9.595
1680,1369.736,1354.1785,9.178072
1690,1382.0757,1367.1296,9.502949
1700,1411.1069,1393.0641,10.786313
1710,1431.4845,1410.6685,9.057105
1720,1447.9725,1426.5969,12.076378
1730,1468.0667,1448.0591,9.773336
1740,1491.9226,1475.3984,10.2566185
1750,1512.5272,1492.9788,8.38172
1760,1532.6547,1513.9624,9.048859
1770,1539.3568,1518.3572,8.96084
1780,1553.1858,1529.7136,10.470024
1790,1573.8463,1554.7793,9.726476
1800,1602.5527,1579.8031,8.777856
1810,1619.2239,1595.6243,9.379976
1820,1628.2894,1602.3577,9.929527
1830,1636.8689,1611.3469,9.372152
1840,1648.0376,1628.2834,8.399469
1850,1663.5515,1638.4939,10.875789
1860,1682.9177,1647.858,11.329089
1870,1679.1361,1654.4612,11.893761
1880,1695.7664,1661.2795,12.59443
1890,1696.8893,1672.3008,9.830285
1900,1714.5942,1677.3191,10.733029
1910,1728.0651,1684.981,10.920495
1920,1738.1882,1698.3279,12.923646
1930,1764.7306,1718.1259,17.358994
1940,1796.3296,1730.7339,15.491743
1950,1798.2936,1733.9729,13.886183
1960,1823.375,1749.4476,19.708332
1970,1840.7507,1758.158,29.00337
1980,1856.0154,1772.1982,33.797386
1990,1865.3381,1771.3069,29.928238
2000,1899.2491,1794.4645,40.05075
2010,1923.4043,1806.3042,43.67767
2020,1945.4923,1816.6759,44.059845
2030,1952.1344,1847.7712,48.719185
2040,1962.0233,1877.8113,52.83171
2050,1975.5547,1926.1653,36.490597
2060,2011.183,1964.0459,16.866018
2070,2016.7273,1983.0466,15.791204
2080,2043.0002,1994.6781,15.287291
2090,2040.4967,2001.8507,14.982384
2100,2052.979,2013.609,16.137749
2110,2066.1443,2028.7538,16.081198
2120,2110.44,2043.9479,17.297972
2130,2109.236,2067.571,15.395763
2140,2149.0679,2092.1992,16.730242
2150,2180.819,2108.2178,17.121727
2160,2224.3572,2117.1274,21.941025
2170,2221.2026,2127.484,18.561653
2180,2257.1763,2142.2544,23.974298
2190,2250.8894,2146.226,19.733257
2200,2241.8242,2160.8008,19.265717
2210,2283.043,2175.7476,26.86157
2220,2301.1729,2193.4385,30.601435
2230,2298.0293,2190.2373,24.641714
2240,2337.5818,2211.9429,31.951656
2250,2339.39,2220.394,33.81957
2260,2339.1414,2241.261,31.066723
