epoch,score_best,score_avg,score_std
10,-4700.4434,-4848.944,32.33322
20,-3980.519,-4153.9688,49.536953
30,-3603.9302,-3764.6807,89.38373
40,-3293.9058,-3441.4744,86.94743
50,-3156.9746,-3255.624,81.1585
60,-3153.6348,-3223.3816,63.94028
70,-3138.6763,-3185.099,34.392517
80,-3120.2864,-3175.9524,46.39184
90,-3093.184,-3157.5703,61.429188
100,-3086.841,-3124.9563,28.509695
110,-3052.496,-3105.0845,39.085262
120,-3045.8843,-3080.3535,15.197046
130,-3017.1636,-3056.4429,20.533909
140,-3016.4463,-3046.585,30.462543
150,-2997.0898,-3033.1782,34.934868
160,-2976.7551,-3017.8608,28.623648
170,-2959.7952,-3007.2463,28.603523
180,-2961.4526,-2996.4146,18.177544
190,-2952.4463,-2991.5068,23.645136
200,-2948.3076,-2981.0374,16.416445
210,-2942.1543,-2975.289,17.711058
220,-2936.402,-2973.9937,21.519949
230,-2919.0356,-2962.482,16.595377
240,-2907.203,-2959.0054,25.081717
250,-2917.7217,-2955.291,31.198023
260,-2915.8987,-2947.4663,15.5486355
270,-2908.336,-2949.9775,37.527153
280,-2902.9014,-2939.734,15.407675
290,-2907.3213,-2940.8994,19.996714
300,-2899.7034,-2935.0303,16.051622
310,-2891.6821,-2931.6355,27.89068
320,-2888.461,-2924.4136,21.185722
330,-2875.166,-2914.1846,15.495523
340,-2880.5505,-2913.9583,22.984167
350,-2870.0405,-2906.6753,15.250249
360,-2859.5486,-2897.3538,24.048056
370,-2847.6636,-2887.6936,25.547113
380,-2825.0535,-2871.962,20.906439
390,-2808.617,-2858.8164,28.20244
400,-2752.3596,-2824.3972,50.373623
410,-2690.3008,-2773.129,68.383835
420,-2582.5571,-2707.17,69.940674
430,-2572.5955,-2675.3447,76.10384
440,-2522.5715,-2649.267,77.47267
450,-2464.5378,-2644.6406,84.25513
460,-2488.6672,-2600.4287,71.67381
470,-2440.638,-2573.0522,76.23524
480,-2397.579,-2553.9053,88.74205
490,-2370.5818,-2504.648,76.303604
500,-2298.6885,-2455.9429,87.93949
510,-2253.149,-2410.0723,92.06235
520,-2239.3162,-2356.6685,83.52062
530,-2180.2605,-2324.205,108.133896
540,-2075.394,-2267.2085,92.455086
550,-2082.993,-2224.466,106.164314
560,-2005.0359,-2198.2476,106.95988
570,-1967.8148,-2147.5796,105.0967
580,-1917.6932,-2118.201,132.44078
590,-1834.2614,-2078.1436,117.86683
600,-1868.5841,-2054.6797,125.64031
610,-1812.3971,-2059.2622,153.59375
620,-1806.0525,-2016.9856,152.3804
630,-1743.7598,-1999.3102,133.14694
640,-1688.5151,-1986.3854,165.8954
650,-1724.9719,-1928.1384,146.90791
660,-1653.126,-1914.4982,159.10649
670,-1600.2283,-1882.5336,143.1001
680,-1615.1436,-1876.873,176.92111
690,-1600.581,-1851.1353,171.12303
700,-1569.0049,-1841.0244,188.19751
710,-1550.0857,-1797.7456,163.58548
720,-1506.9545,-1810.7665,194.09283
730,-1493.4114,-1732.9282,164.72484
740,-1493.5393,-1727.269,164.06795
750,-1472.0736,-1705.7667,191.70125
760,-1439.3168,-1656.6116,156.89221
770,-1430.7308,-1654.9026,181.4145
780,-1413.4589,-1678.8259,187.227
790,-1400.7969,-1646.2352,187.52338
800,-1360.64,-1598.0374,151.06499
810,-1346.8862,-1616.4158,184.64133
820,-1343.5654,-1619.3816,213.26645
830,-1309.5292,-1581.1132,199.51651
840,-1298.4717,-1588.387,217.07004
850,-1311.6113,-1560.915,180.04027
860,-1291.301,-1574.9226,196.8966
870,-1307.5785,-1525.7065,198.17563
880,-1287.0238,-1515.7715,191.1741
890,-1306.2137,-1529.6006,191.71617
900,-1269.0862,-1478.1326,180.83665
910,-1248.4596,-1465.1471,178.29707
920,-1257.808,-1461.0703,168.92972
930,-1266.0184,-1454.3589,174.19377
940,-1208.372,-1432.2041,187.89435
950,-1233.29,-1425.6256,157.69908
960,-1207.0111,-1396.2041,149.4206
