epoch,score_best,score_avg,score_std
10,70.57821,51.87022,9.060825
20,533.17944,270.091,121.63064
30,606.918,322.06854,139.16005
40,599.71173,330.39127,115.74156
50,622.0163,342.77863,134.20372
60,641.514,353.1494,134.419
70,663.0384,369.03375,127.219376
80,636.46075,380.81686,132.05072
90,692.64325,395.20898,129.0717
100,712.693,416.30334,141.23686
110,728.381,437.42047,119.33018
120,673.36926,455.1281,119.875
130,755.1888,478.6491,138.10689
140,772.97235,498.36276,110.01386
150,781.73865,512.6134,125.753296
160,800.14136,525.8093,130.73424
170,816.3832,537.4116,122.10574
180,820.443,544.55896,133.84427
190,826.02234,551.3799,125.73908
200,832.00653,558.10547,126.98299
210,800.11646,563.2438,129.09177
220,837.67236,562.3439,128.34503
230,840.2427,565.7726,129.64546
240,839.82825,570.92944,108.45098
250,849.5051,575.9752,127.33452
260,848.8144,577.348,116.435234
270,851.8893,577.0288,124.603424
280,849.0314,579.62286,119.408905
290,850.89954,582.1278,123.499405
300,851.24316,584.7991,131.11038
310,854.8338,586.1211,120.89185
320,858.38855,586.80945,128.44493
330,857.8366,587.44507,117.50839
340,853.9362,587.9153,126.50638
350,827.4731,590.17194,134.81792
360,864.089,592.13135,136.94238
370,862.4267,592.5629,145.29486
380,861.90594,594.12555,115.29095
390,863.1328,596.6743,125.85178
400,834.78107,596.6211,104.210075
410,858.49786,594.749,131.00291
420,862.25867,598.2609,139.44666
430,864.83765,601.4391,123.53404
440,867.27057,601.9591,123.11987
450,872.08496,606.1485,107.6474
460,872.69385,607.01935,129.48303
470,876.374,609.7825,143.15358
480,872.1749,610.8319,120.76808
490,874.918,610.36676,121.83129
500,839.5475,612.3774,106.659805
510,845.69885,610.022,105.27013
520,875.77844,610.08484,114.28586
530,875.0669,612.38556,140.45831
540,874.06354,615.14014,112.2528
550,879.204,614.9535,119.37404
560,877.6717,616.07666,126.20346
570,879.05286,614.64124,114.53266
580,879.53204,615.7558,125.78629
590,847.6686,616.7294,114.05747
600,878.7183,618.17664,119.72221
610,881.6212,620.1445,115.9327
620,876.31696,620.4223,120.39077
630,881.52057,622.08826,129.60678
640,881.5396,622.47327,117.71503
650,880.2859,624.4487,132.08199
660,878.0977,622.8772,114.82236
670,881.1505,625.5145,126.73565
680,880.82947,625.59265,122.52905
690,881.4568,625.5851,120.2502
700,855.70776,626.02454,111.42217
710,884.4986,629.4893,108.27973
720,883.822,630.23267,115.64637
730,881.2121,632.12305,109.42283
740,881.68384,632.9489,128.45589
750,881.4542,633.8981,126.835266
760,885.3659,634.9773,111.84252
770,884.4037,634.4209,114.39183
780,861.1752,634.46375,122.15438
790,881.6205,633.9685,118.53945
800,888.0063,635.3701,117.02082
810,886.3681,637.05237,122.94959
820,859.91974,639.00903,120.48091
830,890.0552,640.834,119.14535
840,886.005,641.9761,113.22036
850,888.1492,642.23145,131.04816
860,891.9949,642.80383,124.212875
870,892.70984,643.99915,103.8492
880,888.0437,643.34204,113.8514
890,887.5883,643.38184,129.05104
900,890.2508,643.8823,133.78241
910,890.6697,644.53296,107.04364
920,889.8296,644.53455,120.89925
930,866.0529,646.76874,124.51156
940,887.67017,645.239,114.79264
950,892.75366,645.9114,111.03467
960,894.79425,647.5967,116.80391
970,895.00757,646.92,119.7433
980,891.4948,646.6936,114.64929
990,892.57294,648.06384,115.25865
1000,866.7251,648.2197,102.399086
1010,893.6096,648.6606,114.07698
1020,893.36206,648.7405,123.86068
1030,897.9686,649.02734,125.51009
1040,895.0838,649.9911,115.310715
1050,895.1494,650.68774,123.696434
1060,871.3656,651.74084,110.92705
1070,893.78766,651.3862,104.26629
1080,899.3138,651.0781,112.484985
1090,896.6836,652.68317,120.76186
1100,895.9538,652.4038,120.4264
1110,896.785,653.18066,114.1581
1120,896.40607,653.7257,115.22706
1130,898.7967,654.99426,127.77656
1140,900.9228,655.0559,133.14542
1150,898.6663,654.5072,113.25461
1160,875.8549,655.80725,114.13328
1170,900.57745,656.15204,110.17258
1180,876.5426,656.3308,114.37703
1190,900.4376,656.7245,107.75714
1200,899.00006,657.2251,111.89452
1210,903.4344,656.9375,113.845825
1220,901.2603,657.93115,114.42019
1230,903.4623,658.22894,118.36351
1240,878.4863,658.9127,93.42406
1250,902.6222,660.5742,119.695274
1260,904.64984,660.6897,128.72643
1270,900.8994,660.3161,115.255714
1280,903.70953,660.6394,109.661385
1290,903.9798,661.06555,105.07
1300,905.62823,662.02673,119.35871
1310,903.4995,660.3494,127.711876
1320,905.2795,662.2528,118.59946
1330,900.1648,662.4597,104.20905
1340,902.7655,663.175,123.30281
1350,906.37976,664.0502,117.562004
1360,903.85956,662.7928,109.687675
1370,902.60126,662.2219,125.869484
1380,906.7141,663.36304,129.25993
1390,906.79395,663.7098,107.64681
1400,907.76135,665.01794,113.58684
1410,902.0825,665.0001,106.86157
1420,881.06775,663.8697,105.78821
1430,907.4035,663.64294,127.091835
1440,907.7338,664.51636,118.1114
1450,909.0016,663.421,111.52999
1460,880.22986,663.7346,96.12926
1470,907.4549,664.4314,116.25103
1480,904.3782,662.4354,122.97777
1490,880.66595,661.85596,103.74812
1500,908.8389,663.01105,122.697205
1510,906.95996,663.73584,126.117935
1520,883.05176,664.4237,101.56065
1530,909.0331,664.4605,113.20489
1540,902.4979,663.9894,102.49188
1550,907.83435,664.75006,121.24387
1560,909.45825,665.35925,118.09249
1570,912.2146,665.4624,120.10422
1580,908.22125,666.79346,108.40667
1590,913.113,667.5953,108.49134
1600,913.78455,666.96564,114.71826
1610,912.3759,667.2345,113.16655
