epoch,score_best,score_avg,score_std
10,6.142791,3.1098728,1.1105862
20,25.533562,14.8365345,4.008686
30,40.340023,27.584553,4.2957807
40,39.431744,31.219532,3.8812647
50,43.075333,35.74946,3.5903003
60,49.652084,42.698627,3.7020178
70,53.731415,44.486664,3.7872725
80,56.900574,47.412956,4.0569825
90,52.28278,45.995125,3.6796002
100,56.45343,47.886463,3.9692607
110,57.7238,49.36062,3.8105972
120,59.32088,49.05347,3.8067405
130,58.438446,48.250496,3.8968732
140,57.28915,48.259197,4.078358
150,58.60758,49.047653,3.911802
160,56.39427,48.9971,3.649314
170,57.51931,49.94686,3.6659622
180,57.078598,48.74832,4.0345945
190,57.680054,48.371113,4.312419
200,58.298542,48.51724,3.8065562
210,59.14701,48.008923,4.065021
220,58.256138,48.766304,3.6933594
230,57.585392,48.46051,3.9907186
240,56.73071,48.690193,3.037571
250,57.022327,49.329735,3.5141993
260,57.401665,48.808495,3.3771322
270,57.864655,49.784546,3.4172733
280,59.50033,50.155785,3.647501
290,58.749306,50.49904,3.553791
300,57.920033,49.64019,3.5501192
310,58.125225,49.820896,3.830313
320,59.345734,51.517548,3.287752
330,58.768574,49.629143,3.9272578
340,58.05604,49.52643,4.0545735
350,60.516937,50.212807,4.2505274
360,60.02358,50.706024,3.7123733
370,58.973125,51.17327,3.9371755
380,58.45054,50.132214,3.7129107
390,59.73722,49.905144,3.5889864
400,57.18313,48.984734,3.4228165
410,57.277256,50.082623,3.382001
420,56.56426,49.40287,3.5985327
430,57.662365,50.08567,3.906885
440,60.50454,51.02105,3.3953762
450,58.171387,50.016266,3.9785433
460,60.511887,51.640457,4.1420126
470,60.25997,49.986237,3.8413465
480,61.726772,50.405613,3.6814337
490,59.680496,49.862568,3.8610065
500,61.046173,52.18492,3.6683745
510,59.181137,50.49301,4.1073527
520,60.406998,50.107086,3.997984
530,58.01467,50.0202,3.9021428
540,58.38159,50.508636,3.835613
550,57.61006,50.891823,3.5426126
560,62.54415,52.662888,3.8489146
570,59.131706,50.85676,3.3672564
580,59.932007,50.449966,3.897679
590,61.27009,51.44438,3.8057168
600,61.348915,50.523422,3.9465303
610,59.14448,50.67351,3.4340177
620,60.343273,50.857513,4.1938553
630,59.277237,50.003143,3.8501725
640,60.394386,51.14573,3.7280781
650,57.668034,49.472794,3.9175692
660,60.563328,50.474976,3.7275193
670,58.937477,50.36365,3.7997887
680,60.280113,51.723522,3.6049795
690,58.459538,50.890858,3.4507408
700,57.4193,49.72407,3.6815526
710,56.62395,48.93332,3.4287212
720,59.680054,49.59926,4.068763
730,64.069664,51.58329,3.725856
740,59.49698,51.11212,4.060084
750,58.78386,51.176052,3.487976
760,60.088314,50.219597,4.061674
770,59.09143,51.26349,3.647198
780,58.25217,50.02984,3.5500503
