epoch,score_best,score_avg,score_std
10,-0.031382415,-0.044937555,0.0030618473
20,0.14824784,0.014932614,0.037312932
30,0.03570506,0.016806293,0.009295593
40,0.5477835,0.075058,0.102307685
50,1.4566948,0.4196512,0.24538587
60,4.4372115,2.9015007,0.70562893
70,8.471241,3.8207645,1.1874918
80,8.282699,5.094069,1.258083
90,9.738773,6.1268234,1.6685236
100,12.0006275,6.4850683,1.6508605
110,10.226158,6.881035,1.6953702
120,11.977434,7.088393,1.9286805
130,11.770981,7.6280456,1.7574362
140,13.522692,7.97217,1.94153
150,12.375784,8.129988,1.9223115
160,12.5366335,8.364705,1.9845811
170,13.222067,8.793095,1.8772231
180,12.988159,8.613111,1.7164073
190,12.805629,8.52886,1.8079792
200,14.17164,9.087717,1.842853
210,14.309011,9.105851,1.8675977
220,14.754528,9.21768,2.1918275
230,14.508203,9.036442,2.1943529
240,14.76231,9.422392,1.9306086
250,13.280667,9.232405,2.0988517
260,15.390312,9.234093,2.099555
270,15.689018,9.61178,2.148987
280,15.262151,9.526071,2.243303
290,14.546662,9.789656,2.3646228
300,13.266383,9.546816,1.8541374
310,15.364341,9.221811,1.9972862
320,14.948923,9.896477,1.9213873
330,14.221705,9.889394,2.0752935
340,15.169199,9.921467,2.1121993
350,14.141285,9.643292,1.9931678
360,15.344357,10.188784,2.1438382
370,16.69555,10.013283,2.0164597
380,14.518995,9.803246,2.1009083
390,16.281221,10.062542,2.3035011
400,14.691866,9.822623,2.0844998
410,15.295788,10.138335,2.2404053
420,15.396004,10.182804,2.5723891
430,15.843059,10.40224,2.1022348
440,15.187698,10.079006,2.1834807
450,15.60258,10.467385,2.159911
460,14.384737,10.297831,2.2682974
470,17.364067,10.22963,2.3544595
480,15.381952,10.298248,2.0974236
490,15.185323,10.407773,2.1857193
500,15.594709,10.262141,2.2648876
510,16.059776,10.0655575,2.2484832
520,16.182238,10.547377,2.4084225
530,15.804715,10.597696,2.092681
540,16.15968,10.088788,2.4122546
550,16.457378,10.385183,2.323987
560,14.811181,10.287518,2.0839136
570,16.361094,10.354362,2.1568308
580,16.729813,10.594343,2.1834211
590,15.595104,10.561386,2.0218334
600,15.452082,10.307905,2.084638
610,16.60648,10.468641,2.4015462
620,16.458305,10.539314,2.1533062
630,16.623968,10.59342,2.2486951
640,15.404225,10.317401,1.9626522
650,16.77239,10.454867,1.9213991
660,15.982801,10.568314,2.079217
670,16.060154,10.568231,2.0907068
680,17.04446,10.304909,2.1929657
690,16.487164,10.617371,2.3494427
700,16.240788,10.688446,2.51317
710,16.647526,10.607591,2.422662
720,15.880509,10.653467,2.4513764
730,16.41457,10.68607,2.4003186
740,15.642735,10.717844,2.2652838
750,16.521143,10.854958,2.2889829
760,16.545307,10.448948,2.2514844
770,18.539497,10.964792,2.2705274
780,17.02336,10.868123,2.2528863
790,17.801966,11.109515,2.2918167
800,16.336456,10.504822,2.433955
810,16.714584,11.018627,2.432515
820,16.30316,10.65699,2.310606
830,17.12272,10.806467,2.2739546
840,16.579908,10.937601,2.3328335
850,17.042381,10.945441,2.4674456
860,16.345078,10.837704,2.1138992
870,16.25246,10.887974,2.3118234
880,15.677524,10.930832,2.1521761
890,16.160229,10.968885,2.121018
900,17.193926,10.999111,2.3216288
910,15.234154,10.967789,2.1630762
920,17.864973,11.019407,2.30879
930,16.929081,11.2995825,2.1678593
940,15.568216,10.829269,2.311276
950,16.972887,11.123096,2.4780285
960,16.76028,10.995228,2.4664354
970,16.189579,10.997469,2.235812
980,16.079731,11.098791,2.465826
990,15.965776,10.616013,2.2978473
1000,15.930726,10.664555,2.5080702
1010,15.467964,10.622051,2.1887853
1020,16.837503,11.165337,2.571651
1030,16.61593,11.196451,2.4456627
1040,17.498812,11.249207,2.5117466
1050,17.737028,11.039519,2.2514822
1060,15.794325,10.843971,2.4481864
1070,16.62503,10.867133,2.4581769
1080,17.135923,11.16179,2.1728358
1090,15.976879,10.965046,2.1510642
1100,15.324975,11.244822,2.0370948
1110,16.465572,11.198559,2.2583504
1120,16.87151,11.07026,2.346378
1130,16.861067,11.078909,2.3448973
1140,16.144089,11.064614,2.2471175
1150,15.898125,11.432396,2.1986525
1160,16.842176,11.039108,2.281258
1170,17.260567,11.238224,2.3102317
1180,16.280706,11.013427,2.1297162
1190,15.977214,11.122299,2.3809366
1200,16.044262,11.296227,2.3126128
1210,17.766005,11.283616,2.2599359
1220,16.331463,10.905116,2.2233818
1230,17.286541,11.255854,2.3079755
1240,17.325739,11.416138,2.4603865
1250,16.20452,10.970801,2.1356933
1260,15.870879,11.431406,2.2832015
1270,15.700507,10.891253,2.3416426
1280,15.849946,11.08469,2.0411549
1290,17.134142,11.165149,2.6588402
1300,17.504263,11.253338,2.2994015
1310,15.806358,11.040701,2.4808452
1320,17.842344,11.206188,2.4117126
1330,17.126339,11.103802,2.2051299
1340,17.031422,11.253516,2.366979
1350,17.040243,11.054534,2.3607454
1360,16.883749,11.052368,2.2516997
1370,15.980057,11.1612015,2.5003192
1380,16.448587,11.391905,2.2843542
1390,16.418648,11.369831,2.3084524
1400,17.398483,11.406923,2.435932
1410,17.81052,11.811882,2.2372072
1420,18.020233,11.412316,2.4823227
1430,17.778585,11.244726,2.1147804
1440,16.527739,11.450619,2.3498776
1450,16.405977,11.223379,2.2605035
1460,17.136707,11.314661,2.2129016
1470,18.581812,11.314684,2.537302
1480,15.43001,11.091818,2.2576275
1490,16.91821,11.158096,2.2756774
1500,17.580242,11.138154,2.178241
1510,16.176,11.411735,2.4591916
1520,16.89351,11.138906,2.5255172
1530,17.214987,11.214836,2.430212
1540,17.282646,11.731523,2.1954846
1550,17.399982,11.122948,2.4470584
1560,16.952366,11.532293,2.1121771
1570,16.310568,11.108252,2.2653801
1580,16.326582,11.170595,2.2655299
1590,17.697985,11.474685,2.4948845
1600,16.61392,11.106951,2.1908677
1610,16.14928,11.117823,2.3933403
1620,15.563193,11.115292,2.1236472
1630,16.183208,11.229036,2.3889573
1640,15.7825775,11.306049,2.216364
1650,17.77045,11.034653,2.457088
1660,16.211714,11.1721945,2.3006213
1670,17.28815,11.144882,2.529617
1680,16.062416,11.259663,2.2782774
1690,17.766092,11.650472,2.358033
1700,16.936945,11.121509,2.2028701
1710,15.122806,10.943404,2.302129
1720,18.20216,11.247661,2.521017
1730,17.170557,10.858912,2.537421
1740,16.624033,11.24524,2.3177912
1750,17.594711,11.369392,2.1988523
1760,16.617329,11.75305,2.0555582
1770,17.203299,11.225389,2.1814907
1780,16.597115,11.292925,2.275812
1790,17.054878,11.589825,2.268114
1800,16.730467,11.450438,2.298556
1810,16.703308,11.465547,2.3214605
1820,17.240738,11.769184,2.2809134
1830,17.372019,11.228713,2.3301523
1840,16.26442,11.427068,2.0797312
1850,17.896738,11.097373,2.4125242
1860,16.573883,11.441583,2.4213302
1870,17.17918,11.632522,2.3237736
1880,17.33245,11.392104,2.3673382
1890,16.519632,11.41728,2.227724
1900,16.11603,11.721989,2.2991414
1910,16.570663,11.179494,2.23936
1920,15.1725025,11.278669,2.0553157
1930,17.314,11.519964,2.4815042
1940,17.933016,11.251599,2.5162625
1950,17.157408,11.477589,2.40888
1960,16.983522,11.302494,2.403053
1970,16.252571,11.311066,2.4165163
1980,17.897083,11.61998,2.4468584
1990,18.124825,11.414852,2.6327932
2000,17.899965,11.186972,2.50333
2010,16.744543,11.731617,2.3975165
2020,18.218374,11.534647,2.376565
2030,16.630419,11.133622,2.5008435
2040,17.621326,11.548944,2.27659
2050,17.641575,11.679611,2.3229218
2060,17.168625,11.32157,2.1497328
2070,16.85456,11.276992,2.4655333
2080,16.573013,11.258179,2.3442156
2090,16.637669,11.5268955,2.3415318
2100,17.21518,11.355446,2.415415
2110,16.876972,11.413654,2.2815077
2120,16.066946,11.556656,2.3656638
2130,18.304148,11.220261,2.1948164
2140,17.28219,11.23029,2.4541688
2150,17.256397,11.473421,2.6055937
2160,17.485523,11.30413,2.2821634
2170,16.7845,11.30294,2.3966115
2180,17.408197,11.677076,2.4544914
2190,18.072987,11.2656,2.201623
2200,18.750078,11.686785,2.3012729
2210,16.349785,11.532079,2.3649554
2220,17.266836,11.595568,2.3485193
2230,17.230734,11.499084,2.154259
2240,17.993107,11.754635,2.5928855
2250,16.584738,11.802321,2.2628164
2260,17.335394,11.357637,2.368282
2270,16.294159,11.694626,2.3287618
2280,17.063515,11.518123,2.2332375
2290,17.743982,11.753984,2.6602435
2300,16.600138,11.290754,2.5378788
2310,17.013317,11.6185055,2.515346
2320,16.235023,11.384361,2.4550579
2330,18.011484,11.5529175,2.2579947
2340,16.949923,11.497873,2.29028
2350,17.490232,11.552943,2.3042707
2360,18.008858,11.742631,2.5923953
2370,16.962269,11.248186,2.4370148
2380,16.781569,11.092352,2.4498343
2390,17.409931,11.504158,2.5075593
2400,16.713308,11.461237,2.355885
2410,16.918474,11.489798,2.3213615
2420,17.527655,11.135946,2.5284986
2430,18.169865,11.579713,2.3756623
2440,17.981499,11.6105995,2.3991265
2450,16.199186,11.159672,2.2325346
2460,17.242409,11.494221,2.3286273
2470,15.300348,11.483555,2.2036622
2480,16.455488,11.423561,2.540095
2490,18.331018,11.816433,2.5544245
2500,17.236336,11.7310505,2.0477211
2510,17.525917,11.746866,2.5062764
2520,17.513924,11.630407,2.2229676
2530,18.027712,11.815363,2.2241085
2540,16.91703,11.705667,2.139341
2550,16.608156,11.449297,2.557394
2560,16.593758,11.375507,2.3751729
2570,17.563913,11.605221,2.338079
2580,18.408306,11.991566,2.2859123
2590,16.614185,11.4823675,2.4514878
2600,17.356592,11.3855095,2.3683755
2610,18.306002,11.852002,2.363188
2620,16.522562,11.444405,2.5346484
2630,19.318954,11.08917,2.3684766
2640,18.22321,11.552589,2.5467565
2650,17.84757,11.995698,2.6320996
2660,16.598314,11.501079,2.385368
2670,18.816933,11.614035,2.6048741
2680,16.934399,11.83688,2.144817
2690,18.2792,11.273982,2.3873558
