epoch,score_best,score_avg,score_std
10,-292.05478,-502.5418,148.30832
20,-57.84145,-68.17883,6.5366693
30,61.493393,-9.451871,6.3641605
40,756.01733,624.72327,33.72348
50,960.849,953.3021,3.3473566
60,976.5674,971.26636,2.1531725
70,986.84125,984.04504,1.0654317
80,991.4686,989.25604,0.79677474
90,995.08136,993.53064,0.6689567
100,998.1547,996.19495,0.66721165
110,1004.4559,998.1094,1.1119528
120,1041.1364,1026.4426,5.0112777
130,1079.9237,1070.5571,2.9981756
140,1127.3928,1120.4612,2.9172614
150,1170.3225,1162.6199,2.9846542
160,1212.4915,1205.119,2.8217268
170,1237.6393,1230.3723,3.2505274
180,1282.7795,1270.4685,5.7508364
190,1332.654,1318.097,5.3031745
200,1382.8218,1372.5557,5.2038956
210,1437.4451,1424.3623,4.9533014
220,1481.0527,1467.5608,5.6226625
230,1533.7075,1517.2053,6.7010365
240,1565.9044,1547.4893,6.6435113
250,1592.2139,1572.2461,7.2828345
260,1640.3896,1625.6255,5.9872627
270,1679.2316,1663.8364,5.3808475
280,1701.0854,1688.5383,5.4324174
290,1726.9462,1716.8885,5.6177483
300,1757.2007,1744.5283,5.896894
310,1783.1261,1765.0314,7.34485
320,1809.2334,1792.1107,6.383733
330,1863.6381,1847.9026,6.165722
340,1903.9142,1890.7341,7.1847777
350,1933.813,1919.2102,7.18545
360,1961.4452,1946.3335,5.9602885
370,1990.7452,1977.4307,7.123005
380,2016.571,2001.564,6.3506575
390,2038.0883,2025.1365,6.140173
400,2066.6023,2052.4194,6.454162
410,2092.5703,2071.7004,6.451896
420,2105.5369,2088.8213,6.3438473
430,2129.1958,2112.1284,6.990387
440,2156.4448,2135.771,6.963404
450,2180.3872,2164.803,6.737102
460,2204.7107,2191.0771,7.039043
470,2230.456,2209.1802,7.6273637
480,2258.511,2241.1797,6.896714
490,2289.318,2274.4353,7.62934
500,2318.6855,2299.9712,7.559196
510,2358.2397,2334.0208,9.95581
520,2404.4202,2376.235,10.903343
530,2439.5498,2411.9307,11.098016
540,2484.3728,2458.3938,11.088522
550,2533.3362,2507.5994,11.984604
560,2585.0894,2552.879,13.077503
570,2652.4275,2619.2026,13.437117
580,2711.4822,2681.1926,12.482428
590,2761.0496,2728.231,12.6153965
600,2810.7795,2782.3704,16.371185
610,2860.3801,2827.8887,13.357664
620,2922.6772,2879.5178,15.078462
630,2952.659,2921.1392,13.647628
640,2991.0369,2952.8906,13.857814
650,3038.349,2997.5823,13.854487
660,3064.348,3035.457,13.417735
670,3110.4485,3064.6084,14.798309
680,3153.808,3116.1199,13.885507
690,3199.1223,3151.8987,16.164206
700,3225.905,3189.2695,14.2838955
710,3264.396,3225.123,17.475533
720,3304.614,3268.959,17.066635
730,3331.5012,3299.3433,14.703864
740,3359.9858,3331.0146,14.709993
750,3386.2876,3361.2847,13.483046
760,3442.8872,3402.9873,15.820084
770,3495.2937,3454.5303,14.617839
780,3535.8188,3500.1724,16.672588
790,3576.8455,3538.6826,25.137932
800,3609.8806,3572.9429,29.225765
810,3658.287,3617.8005,16.90197
820,3706.877,3663.5186,15.909539
830,3719.8984,3684.698,16.907322
840,3737.6184,3696.709,41.43712
850,3765.2668,3723.292,34.23126
860,3791.155,3748.4448,49.811695
870,3827.3313,3783.5322,26.560059
880,3852.3784,3806.2393,58.45617
890,3869.7925,3826.1494,37.03548
900,3891.5808,3856.2468,19.639597
910,3945.5098,3888.6982,49.23585
920,3959.4717,3907.212,16.66924
930,3960.3047,3917.3552,43.08946
940,3996.8442,3953.2021,50.829132
950,4018.0605,3977.5425,45.055893
960,4045.821,3996.011,18.626808
970,4110.8374,4024.402,29.055172
