epoch,score_best,score_avg,score_std
10,-1354.2505,-1644.9609,260.30286
20,-1273.6295,-1349.8008,35.334885
30,-688.4241,-780.20544,158.19382
40,-727.1602,-868.676,203.51694
50,-702.79144,-797.0503,84.46186
60,-621.4717,-700.2093,149.59149
70,-684.95465,-754.64014,88.65403
80,-609.6331,-675.41846,106.369
90,-634.42413,-711.54504,165.72305
100,-563.86115,-618.0189,93.43224
110,-578.85205,-649.09973,94.54144
120,-564.08923,-637.182,161.77371
130,-525.57117,-598.4048,115.46101
140,-547.64026,-632.8766,161.02162
150,-567.8142,-634.9821,143.98541
160,-540.0289,-580.00757,67.89214
170,-524.7949,-583.5592,144.83914
180,-558.59106,-601.1338,21.265541
190,-540.7589,-604.34515,117.318436
200,-547.3415,-599.52637,79.14635
210,-502.40363,-563.26306,88.80355
220,-535.63464,-582.6814,18.548084
230,-537.8336,-584.7747,76.550545
240,-554.2964,-600.20056,20.595055
250,-557.7358,-618.604,87.97273
260,-561.30994,-620.2358,24.757713
270,-552.5213,-605.49146,21.033932
280,-552.51843,-602.6323,24.06233
290,-541.7085,-599.8991,22.41149
300,-544.7234,-588.7431,86.637634
310,-539.7697,-585.1975,77.028595
320,-513.0571,-570.81213,20.807684
330,-527.7363,-570.11646,91.18081
340,-508.25842,-545.6732,16.184532
350,-486.11935,-528.48883,80.3464
360,-493.8585,-539.8268,22.531206
370,-489.78595,-520.1669,15.469398
380,-492.70154,-522.7251,15.883711
390,-511.66452,-555.2509,88.19226
400,-509.049,-559.5122,113.37694
410,-492.6294,-531.78455,16.663181
420,-491.90234,-535.0204,87.95886
430,-502.244,-542.8168,17.43958
440,-501.25555,-545.7258,79.243126
450,-497.53055,-544.65515,87.59181
460,-495.6391,-526.40216,15.48343
470,-482.38657,-522.26013,77.92015
480,-483.70914,-511.99307,12.338619
490,-483.98752,-529.8485,89.25837
500,-468.04214,-509.08173,14.708367
510,-477.7188,-511.4582,15.474559
520,-484.35303,-521.3853,18.396143
530,-480.43735,-518.94934,57.65117
540,-461.43594,-522.79205,88.55735
550,-492.5662,-533.68585,72.56118
560,-487.49396,-517.7221,15.470053
570,-481.74832,-512.947,14.006817
580,-479.7751,-516.0584,57.48068
590,-476.26343,-515.3668,15.962907
600,-489.8498,-521.95483,17.015026
610,-481.8597,-517.4617,15.782914
620,-478.45456,-511.92828,15.736402
630,-471.14743,-520.76294,13.976531
640,-488.6327,-519.51135,15.781759
650,-485.88956,-514.6909,15.175184
660,-475.56183,-525.25635,87.89264
670,-488.49725,-525.4662,18.799383
680,-475.80414,-508.36188,15.425695
690,-475.73013,-503.86237,16.609886
700,-471.47067,-507.13165,88.877625
710,-466.9802,-500.23163,15.366627
720,-480.05252,-511.20865,17.514725
730,-482.38007,-512.7988,14.952406
740,-474.1761,-509.96457,16.339828
750,-467.83136,-509.51474,18.191166
760,-482.23816,-511.02325,15.862286
770,-470.13586,-502.34146,18.592796
780,-477.6227,-508.51974,16.178305
790,-470.23837,-503.10678,14.532927
800,-481.802,-514.14453,19.277943
810,-481.3332,-515.3098,15.453232
820,-473.21182,-510.04285,14.427683
830,-473.45227,-504.57074,12.963459
840,-467.53247,-497.91714,13.882811
850,-450.6866,-479.6568,13.6802635
860,-451.87753,-476.24615,13.330801
870,-459.06866,-490.8299,90.363396
880,-462.16864,-492.64453,13.211582
890,-455.72336,-494.3894,69.6049
900,-445.57117,-483.98926,21.351736
910,-459.14648,-488.59772,14.781512
920,-460.94632,-491.70413,14.158521
930,-468.62427,-501.2757,13.424926
940,-456.97754,-489.14264,12.200517
950,-452.43573,-480.63452,12.033892
960,-458.96008,-497.88416,79.72679
970,-463.02374,-492.90576,13.460465
980,-451.50317,-484.43192,69.07695
990,-448.4486,-478.51794,17.142944
1000,-437.0363,-480.1428,90.86916
1010,-446.31488,-476.308,14.283458
1020,-442.217,-481.40186,90.94734
1030,-436.21216,-466.59247,12.403664
1040,-448.55356,-480.643,89.60527
