epoch,score_best,score_avg,score_std
10,-2712.0134,-3481.8442,312.75586
20,-2617.6943,-2698.5024,78.9316
30,-2334.7952,-2459.0208,149.40363
40,-2121.0703,-2340.2588,88.08452
50,-1468.7346,-1704.2231,155.48448
60,-1507.1705,-1754.2183,126.15651
70,-1442.4729,-1640.2059,126.029175
80,-1462.7418,-1634.5885,127.803635
90,-1488.6868,-1687.752,91.54187
100,-1432.2316,-1649.3192,112.07531
110,-1432.9705,-1621.6492,82.92249
120,-1407.4911,-1576.0618,105.62675
130,-1341.9542,-1572.9956,122.51793
140,-1353.5726,-1571.1466,98.56526
150,-1369.5681,-1540.9736,75.3909
160,-1345.3726,-1490.1803,68.72546
170,-1330.3134,-1478.8243,69.95533
180,-1306.4122,-1444.5747,68.50825
190,-1292.5428,-1439.6467,68.14489
200,-1243.888,-1395.8013,67.11791
210,-1273.169,-1389.8658,56.142902
220,-1231.7922,-1358.9329,54.263206
230,-1248.3953,-1379.6836,64.598305
240,-1201.4818,-1327.3604,62.84026
250,-1227.8464,-1371.594,88.36301
260,-1260.4935,-1362.1084,50.92328
270,-1162.493,-1327.2009,61.649303
280,-1211.6241,-1324.9834,56.7783
290,-1203.4137,-1340.9364,53.183487
300,-1205.4489,-1325.4945,82.101456
310,-1187.618,-1317.4033,89.94076
320,-1178.185,-1293.0869,51.264957
330,-1128.984,-1283.706,58.96782
340,-1143.5558,-1270.6721,89.6765
350,-1153.3687,-1253.8301,56.70438
360,-1116.1187,-1244.609,84.52817
370,-1101.3918,-1218.0647,52.7706
380,-1120.5183,-1238.3937,56.074017
390,-1088.5215,-1202.3541,52.819927
400,-1099.0193,-1205.0183,54.455048
410,-1064.568,-1189.7837,121.03508
420,-1065.255,-1182.6135,70.91747
430,-1062.0076,-1171.855,55.34586
440,-1033.4586,-1142.5227,49.284023
450,-1031.4106,-1156.4742,80.80182
460,-1030.9265,-1161.4019,107.798546
470,-1030.2551,-1148.0308,64.819046
480,-1025.5109,-1129.9873,50.494705
490,-1003.81226,-1108.0531,47.49246
500,-954.04584,-1070.5706,45.896225
510,-946.3854,-1043.55,58.268974
520,-912.3774,-1019.4893,45.96253
530,-892.803,-1008.6238,48.640762
540,-840.65137,-970.04266,53.981525
550,-817.03174,-935.05396,52.301525
560,-795.9755,-915.33484,58.25532
570,-804.6967,-901.60156,71.13743
580,-775.69275,-893.75745,46.366554
590,-763.4215,-870.18884,49.8902
600,-708.2939,-845.0126,49.471577
610,-755.23334,-846.8184,60.1553
620,-726.91693,-827.91284,43.412067
630,-710.8117,-817.431,39.985577
640,-700.2283,-812.88495,91.85225
650,-714.70233,-805.7672,43.80896
660,-727.21014,-814.0038,90.79197
670,-718.7673,-808.1763,48.96438
680,-716.29474,-809.19604,43.091686
690,-715.4418,-824.2932,100.479416
700,-685.0325,-779.1557,47.44428
710,-674.3709,-782.86896,99.90481
720,-686.60254,-789.19727,95.43518
730,-649.72235,-751.9125,43.32451
740,-664.7589,-750.2521,45.753296
750,-671.27655,-749.73596,38.592564
760,-675.71783,-759.2009,39.555218
770,-672.6606,-757.8882,37.614765
780,-667.75146,-747.71765,43.872208
790,-631.16113,-726.4508,36.450306
800,-647.23096,-735.61865,34.166138
810,-638.4839,-737.0703,35.752346
820,-666.52,-737.27075,37.5824
830,-650.502,-722.7169,47.331047
840,-645.48285,-720.98474,38.64805
850,-651.1922,-717.12744,34.425682
860,-627.5488,-712.1419,37.27637
