epoch,score_best,score_avg,score_std
10,16.575134,5.7763133,2.2183301
20,117.76854,77.97046,8.272688
30,336.03592,322.90546,7.4061227
40,437.05328,410.3271,13.106869
50,503.69882,467.43338,18.273912
60,549.60504,525.90155,11.905463
70,593.5031,568.67035,9.552476
80,612.24927,586.5716,12.506723
90,641.6936,618.2245,14.439408
100,658.9118,635.92224,12.49151
110,673.63354,652.99817,13.720766
120,700.3948,683.8061,12.497068
130,733.4301,719.9635,9.964257
140,759.3388,745.5978,9.257483
150,775.5314,764.4917,9.159383
160,791.32385,780.6782,7.872704
170,809.5505,795.7322,4.9238396
180,819.32666,810.72424,3.8789032
190,821.9752,815.1017,3.8975735
200,831.0418,822.3225,2.8920772
210,836.01013,826.65906,3.1532104
220,836.1496,828.655,3.214687
230,841.4652,833.918,2.9880672
240,845.11194,836.7603,3.0355475
250,848.22003,839.0207,3.190496
260,845.77277,839.1036,2.5838144
270,851.81726,843.8539,2.8943853
280,852.86096,845.5847,2.8422637
290,858.59894,849.91675,3.4389741
300,861.8877,854.902,3.0283005
310,865.7348,857.0065,3.3093326
320,868.2978,861.2909,2.9519608
330,872.9155,866.8839,2.7102501
340,874.0765,868.29663,2.6093278
350,876.44385,869.7329,2.346252
360,876.13257,870.3351,2.3431206
370,880.13336,873.6383,2.4237401
380,880.37384,875.086,2.1423411
390,883.996,877.7981,2.2328067
400,883.3433,878.877,1.98767
410,882.76306,878.9087,2.005304
420,887.29364,882.6129,2.0668566
430,887.65955,883.1482,2.0958045
440,887.42316,883.50415,1.900589
450,890.037,886.158,1.8856895
460,890.3057,885.16547,1.7736869
470,890.61694,887.67096,1.4133092
480,891.3656,887.9652,1.5233971
490,893.5961,889.583,1.376262
500,893.7741,888.8269,1.6152291
510,891.8504,888.3721,1.4209713
520,892.7157,888.28625,1.3263357
530,894.8146,891.53394,1.3902814
540,896.2554,891.47437,1.7217004
550,899.17944,895.2273,1.4975692
560,898.7003,894.19385,1.5142064
570,898.2484,894.7657,1.3520876
580,897.9838,894.41425,1.503592
590,901.0629,897.29626,1.3503089
600,900.4244,896.97974,1.3654143
610,902.3903,899.3231,1.4101446
620,902.8695,900.15,1.3650938
630,904.17865,900.43884,1.4446473
640,903.22424,899.8878,1.3959805
650,904.4355,901.47217,1.19206
660,906.4853,903.45966,1.2422117
670,906.0516,903.2848,1.418161
680,904.8066,901.6279,1.3076788
690,903.81464,901.0061,1.1591355
700,908.04407,905.10175,1.1730411
710,906.79456,904.2018,1.1003081
720,908.64056,904.84656,1.1670547
730,909.9139,907.3184,1.120263
740,907.4301,905.0343,1.2097708
750,908.69794,905.85864,1.0353609
760,910.31165,907.3864,1.1914781
770,911.69556,909.2897,1.1068238
780,911.56604,908.6804,1.2377818
790,909.77875,907.5011,1.1474776
800,910.986,907.8224,1.2436681
810,911.7517,908.7329,1.1350187
820,913.2183,910.10236,0.9655709
830,913.43225,910.18115,1.1495303
840,913.30505,910.40796,1.1258022
850,913.9623,911.4043,1.1250051
860,915.8134,912.6963,1.2181162
870,915.8492,912.81506,1.0044152
880,915.4701,912.6614,1.289513
890,915.6288,912.5314,1.1770409
900,915.2671,911.9384,1.1498663
910,915.8958,913.0946,1.021335
920,916.2028,913.2907,1.0387284
930,915.8562,913.6031,1.0041817
940,916.8048,913.86475,1.0168777
950,917.51294,914.90594,1.1652441
960,917.7095,915.2648,1.1442686
970,919.2603,916.6837,0.96503
980,918.4883,916.5149,0.9169487
990,920.09735,917.7006,1.0890836
1000,917.9972,915.62396,1.133587
1010,920.3536,918.1644,0.96521
1020,919.1114,915.9705,0.9503935
1030,919.3814,916.55444,1.0214958
1040,921.11786,918.2916,1.0499775
1050,919.98193,917.1193,1.0575136
1060,921.3141,918.6947,0.9123342
1070,921.0154,918.7318,0.9971738
1080,921.01306,918.5919,1.0870403
1090,920.3365,918.08997,0.9194338
1100,921.36865,919.0127,0.99986535
1110,921.80414,919.65393,0.88983077
1120,921.61664,918.54694,1.0350888
1130,920.5248,918.3565,1.0187707
1140,922.7494,920.06604,0.9559364
1150,921.9558,920.17505,0.9606303
1160,923.16504,920.5431,1.029505
1170,923.44116,921.10156,0.9578121
1180,923.17444,921.10046,0.9728121
1190,924.8033,921.4203,1.0197889
1200,924.3893,921.79443,1.0389557
1210,925.00867,922.9916,0.9757434
1220,925.0029,923.02374,0.9997741
1230,926.38025,923.5896,1.0553793
1240,926.56165,924.0706,1.0138172
1250,926.3392,923.95087,1.0084625
1260,925.6473,923.5565,0.87859255
1270,925.69763,924.17255,0.8284885
1280,926.029,923.631,0.82733923
1290,925.4061,923.40186,0.8135359
1300,926.32074,924.0382,0.9305117
1310,925.3883,923.3662,0.838039
1320,925.49835,923.4978,0.8613488
1330,926.0088,924.04175,0.89429027
1340,925.47034,923.432,0.8064826
1350,926.5258,923.8378,0.9264678
1360,926.2536,923.9564,0.91008526
1370,926.94415,924.4265,6.2788463
1380,926.4197,924.49927,0.91956294
1390,926.335,924.3188,0.8214415
1400,927.664,925.5145,0.97159314
1410,927.6017,925.5328,0.94873476
1420,927.30225,925.2859,0.7682154
1430,927.612,925.6284,0.8832909
1440,927.13196,925.5112,0.79045516
1450,927.11273,925.3071,0.8127916
1460,928.0746,925.5901,0.8869078
1470,928.12585,925.3788,0.85841626
1480,928.7628,926.2865,0.88567054
1490,928.11365,925.6641,0.9158611
1500,927.54254,925.52454,0.80480415
1510,927.80255,925.9946,0.83511865
1520,928.5227,926.66345,0.81384695
1530,927.9801,925.9901,0.8367912
1540,928.82117,926.4957,0.88831836
1550,928.4583,927.0238,0.74550426
1560,928.2867,926.6461,0.7691331
1570,929.0798,927.12085,0.7996915
1580,929.1369,927.07965,0.8634758
1590,927.96716,926.1642,0.83663493
1600,928.44867,926.4674,0.8808073
1610,929.1758,926.8928,0.7598989
1620,928.4566,926.61163,0.83480024
1630,929.2322,927.3221,0.7824228
1640,929.6976,927.78424,0.8679394
1650,930.37213,928.17444,0.823177
1660,929.57544,928.0901,0.6920813
1670,930.088,927.63025,0.848728
1680,930.4889,928.44775,0.7134828
1690,929.8748,928.1099,0.7093356
1700,929.3216,927.6045,0.7887201
1710,929.9058,927.969,0.81192654
1720,930.9047,928.1653,0.78724945
1730,930.9114,928.5408,0.73221564
1740,930.82086,928.8428,0.8317461
1750,930.88324,928.92676,0.79228663
1760,931.03864,929.1427,0.74279773
1770,932.2219,928.9594,0.8495598
1780,931.1465,929.27783,0.73583823
1790,932.00635,930.1814,0.8246533
1800,931.8549,930.31287,0.69643575
1810,931.9943,929.96826,0.7280978
1820,932.52637,930.51794,0.7537065
1830,932.0545,929.7783,0.76272166
1840,933.1691,930.69666,0.81769377
1850,931.9608,930.1898,0.8388512
1860,932.6168,930.98474,0.75824416
1870,932.5046,930.65814,0.6562001
1880,931.92883,929.95337,0.76310766
1890,933.25696,931.1361,0.7762503
1900,932.76855,930.57025,0.7966748
1910,932.7574,930.61005,0.7945113
1920,933.2935,931.3539,0.7188182
1930,933.6726,931.7337,0.67716795
1940,933.58887,931.3349,0.68879765
1950,933.15063,931.28326,0.75441885
1960,932.9587,931.1482,0.66787493
1970,932.70605,931.0051,0.71069807
1980,933.6951,931.8114,0.75615734
1990,934.1647,932.2153,0.7146585
2000,933.9606,932.07,0.7094919
2010,933.3069,931.73615,0.64958364
2020,933.52075,931.93604,0.7318738
2030,933.4671,931.85547,0.73702353
2040,933.4908,932.1233,0.7242255
2050,934.81586,932.5304,0.75368094
2060,934.72876,932.3672,0.70029294
2070,934.937,932.9181,0.77523273
2080,935.1086,932.7682,0.74551356
2090,934.85944,932.90283,0.6810288
2100,934.87024,932.77686,0.7591469
2110,934.53564,933.0554,0.6991311
2120,934.0265,932.50757,0.6945406
2130,935.4082,933.5431,0.6574255
2140,935.42334,933.1478,0.69439805
2150,935.4907,933.7768,0.61192673
2160,935.46313,933.4414,0.6961922
2170,935.3191,933.76965,0.65960866
2180,935.1865,933.5676,0.7351773
2190,935.54126,934.0198,0.6791037
2200,935.98456,934.3262,0.67240256
2210,935.97034,934.4343,0.6474252
2220,936.64716,934.84375,0.68716604
2230,936.2313,934.6299,0.783987
2240,936.48816,934.74567,0.64760983
2250,935.8923,934.1241,0.6951791
2260,936.0197,934.1,0.73247415
2270,935.7213,933.6991,0.6990219
2280,935.67303,934.08594,0.58604306
2290,935.8822,934.3055,0.6462814
2300,936.8061,934.60114,0.67993236
2310,935.7388,934.30927,0.63853395
2320,936.009,934.5825,0.6331914
2330,936.0712,934.4946,0.6682713
2340,936.10974,934.6112,0.5749922
2350,936.3401,934.6762,0.54188234
2360,936.55914,934.855,0.6518318
2370,936.8094,935.1459,0.64339536
2380,936.495,935.0745,0.63350666
2390,937.2142,935.5298,0.64626306
2400,936.98364,935.2167,0.63686323
2410,937.0628,935.6359,0.55044585
2420,936.8182,935.3176,0.6544962
2430,937.178,935.5394,0.61737967
2440,936.8525,935.2274,0.54390794
2450,937.0133,935.66205,0.6341611
2460,936.85364,935.3676,0.69417876
2470,937.2701,935.5131,0.5641777
2480,936.77264,935.24255,0.6097188
2490,937.475,935.74524,0.5706691
2500,936.45514,935.2196,0.5343568
2510,937.3355,935.81805,0.68856704
2520,936.94714,935.3363,0.6284319
2530,937.4732,935.6847,0.62625206
2540,937.1613,935.5791,0.5834362
2550,936.8047,935.3876,0.5998839
2560,936.6972,935.25256,0.5995374
2570,937.04175,935.4526,0.66071445
2580,936.8581,935.4868,0.64347714
2590,937.2393,935.4349,0.6258536
2600,937.01184,935.8099,0.5831233
2610,937.10297,935.6312,0.631517
2620,936.8078,935.511,0.6153781
2630,937.79865,935.5532,0.6516351
2640,937.2866,935.63983,0.644976
2650,936.91907,935.54016,0.59583277
2660,937.7738,935.3689,0.6880332
2670,937.31476,935.5421,0.6466875
2680,936.8058,935.37524,0.58604753
2690,937.697,935.7,0.6034841
2700,937.49414,935.7977,0.62846893
2710,937.2576,935.79834,0.6024105
2720,937.8128,935.98846,0.6206932
2730,937.4165,936.05505,0.60690767
2740,937.2556,935.94464,0.5675241
2750,937.85126,936.08325,0.57641745
2760,937.6881,935.8037,0.62072486
2770,938.12384,936.1983,0.64690274
2780,936.99365,935.5174,0.64387107
2790,937.75085,936.23706,0.62967557
2800,938.1222,936.38184,0.64000255
2810,938.20715,936.37244,0.61868614
2820,937.69635,936.1322,0.6486651
2830,937.96075,936.16223,0.6176462
2840,937.7377,936.06476,0.6254049
2850,937.61597,936.135,0.587789
2860,937.5317,936.1368,0.68101054
2870,937.68005,936.2202,0.5994922
2880,938.13385,936.15405,0.588667
2890,937.8539,936.6637,0.508597
2900,937.6766,936.42126,0.55120075
2910,938.1288,936.9144,0.5724096
2920,938.0352,936.64343,0.61440307
2930,938.0292,936.70215,0.52022547
2940,938.30756,936.9657,0.62342256
2950,938.30707,937.09656,0.5249944
2960,939.3253,937.6636,0.5874925
2970,938.5382,937.2611,0.5809846
2980,939.167,937.51294,0.5463578
2990,939.01715,937.4033,0.5835573
3000,938.79694,937.39246,0.6293004
3010,938.7271,937.5697,0.5370661
3020,938.7706,937.47864,0.6061852
3030,939.2552,937.7885,0.5999117
3040,939.63104,937.8977,0.60460097
3050,939.67487,937.71857,0.68361926
3060,939.9554,937.84204,0.6081071
3070,939.3662,937.8456,0.59724265
3080,939.28186,937.6824,0.6391275
3090,939.8432,938.2529,0.5825974
3100,938.8764,937.90173,0.5365314
3110,939.62067,938.15076,0.628269
3120,939.1754,937.80365,0.598035
3130,940.08514,938.09045,0.6522046
3140,939.5089,938.2242,0.5634735
3150,939.9144,938.12134,0.5988512
3160,939.73303,938.0918,0.636048
3170,939.706,938.1803,0.6016509
3180,939.82666,938.21405,0.60402316
3190,939.58813,938.21704,0.5919479
3200,939.8223,938.76294,0.5269344
3210,940.31714,938.5041,0.6186362
3220,940.29175,938.7654,0.5927859
3230,940.3958,938.848,0.57029927
3240,940.43713,938.84235,0.57938224
3250,940.2231,938.94507,0.5546694
3260,940.0289,938.652,0.5001147
3270,940.19257,938.69495,0.6362964
3280,940.4589,938.8108,0.5832886
3290,940.3821,938.7108,0.6442576
3300,940.28186,939.0462,0.5581452
3310,940.28107,939.02185,0.56647307
3320,940.54565,939.1798,0.59404933
3330,940.23413,939.04224,0.5574167
3340,940.83716,939.10443,0.6269526
3350,940.3989,939.15356,0.55342597
3360,940.8545,939.5692,0.5344972
3370,940.4463,939.11206,0.5728254
3380,940.8342,939.3806,0.61333495
3390,941.1914,939.67847,0.5675316
3400,940.9026,939.61383,0.5085583
3410,941.7046,939.6528,0.681082
3420,941.3439,940.0708,0.5747428
3430,941.3893,940.076,0.583548
3440,940.96936,939.8311,0.56181175
3450,941.6324,939.9761,0.5953122
3460,941.3377,939.9762,0.58296096
3470,941.55237,939.8089,0.53376323
3480,941.3177,939.8032,0.5515288
3490,941.3874,939.929,0.5447714
3500,940.82416,939.63885,0.5590365
3510,941.10583,939.48987,0.61546844
3520,940.875,939.67786,0.537835
3530,941.20636,939.8014,0.56978154
3540,941.54663,939.8911,0.65601003
3550,941.2705,939.68915,0.57914394
3560,941.4096,939.98975,0.5966067
3570,941.19025,939.83954,0.54689825
3580,941.64307,940.1204,0.5667643
3590,941.59625,940.273,0.58801556
3600,941.7437,940.40625,0.57406425
3610,942.0013,940.4631,0.5830121
3620,941.29974,940.41223,0.5172412
3630,942.05,940.56616,0.60478204
3640,941.6641,940.60516,0.5583826
3650,942.348,940.62415,0.5672585
3660,941.9625,940.731,0.52244544
3670,941.8645,940.47595,0.5412869
3680,941.86334,940.4383,0.5973761
3690,941.8069,940.3406,0.54969424
3700,941.4683,940.30835,0.5145156
3710,941.4918,940.4508,0.52756655
3720,942.186,940.51855,0.5560777
3730,941.5918,940.5153,0.49138457
3740,941.98804,940.46136,0.529517
3750,942.01013,940.74927,0.5432468
3760,942.00287,940.692,0.5230088
3770,942.7764,940.96295,0.60678405
3780,943.10547,941.03284,0.5959464
3790,942.26746,941.048,0.55980515
3800,942.4021,941.1138,0.568928
3810,942.294,941.13715,0.51240957
3820,942.90265,941.3103,0.5970561
3830,943.0547,941.4839,0.58729434
3840,943.1463,941.4166,0.5901784
3850,942.3314,941.02673,0.57120156
3860,942.9331,941.2691,0.58194
3870,941.96814,940.8565,0.517872
3880,942.529,941.31384,0.54133505
3890,942.63824,941.1328,0.5558415
3900,942.94586,941.234,0.58942765
3910,942.57465,941.1439,0.5722066
3920,942.7455,941.39514,0.53132
3930,943.05084,941.61017,0.6148605
3940,943.17267,941.5968,0.5297587
3950,943.15564,941.6348,0.6254241
3960,943.2802,941.6705,0.63346636
3970,943.1996,941.76965,0.5803199
3980,943.1327,941.9254,0.5094142
3990,942.72754,941.3583,0.5502639
4000,943.0653,941.5419,0.50715923
4010,942.99316,941.83203,0.55095345
4020,943.6332,941.94586,0.5257159
4030,943.3018,941.84705,0.5533509
4040,943.50244,941.937,0.54820377
4050,943.25995,942.12024,0.51179475
4060,943.32935,942.0656,0.5234141
4070,943.0388,941.98865,0.54577655
4080,943.8603,942.0664,0.5431222
4090,943.7119,941.8485,0.62427175
4100,943.01666,942.0996,0.50103104
4110,943.2393,942.1741,0.56266075
4120,943.4659,942.14453,0.5289887
4130,943.68463,942.1415,0.51830775
4140,943.9569,942.3479,0.56736326
4150,943.3886,942.2087,0.5426643
4160,943.9209,942.3463,0.5907397
4170,943.76184,942.10095,0.56358576
4180,943.44006,942.2813,0.5256197
4190,943.3896,942.2118,0.52899563
4200,944.166,942.3022,0.5406234
4210,942.9791,942.08215,0.4563602
4220,943.6117,942.5247,0.48881555
4230,943.27673,942.0716,0.585665
4240,943.6387,942.2778,0.5369674
4250,944.09973,942.60144,0.56478775
4260,944.3975,942.7341,0.5326883
4270,944.25,942.7216,0.53774244
4280,944.17456,942.51416,0.55910885
4290,944.0908,942.90704,0.5079153
4300,944.1709,942.94196,0.55348396
4310,944.39087,943.2045,0.5278399
4320,944.39026,943.0912,0.5476405
4330,944.01306,942.9097,0.49445254
4340,944.3149,942.9281,0.5900179
4350,944.41785,943.09625,0.5062893
4360,944.203,943.1636,0.4607217
4370,944.27045,943.1521,0.49515766
4380,944.3281,942.90027,0.5426699
4390,944.2662,943.1327,0.49765003
4400,944.3639,943.079,0.52016664
4410,944.3258,943.17993,0.48189902
4420,944.4717,943.046,0.58423656
4430,944.8266,943.25586,0.5369408
4440,944.7914,943.2223,0.52553916
4450,944.306,943.07886,0.5324354
4460,944.26996,942.879,0.54091275
4470,944.39404,943.1196,0.504598
4480,944.0921,942.9455,0.5025021
4490,944.4181,943.1979,0.5123444
4500,944.7002,943.1222,0.57902896
4510,944.352,943.18945,0.5485076
4520,944.8138,943.38727,0.50416434
4530,944.3058,943.0359,0.55448234
4540,944.6907,943.378,0.52856475
4550,944.3507,943.0492,0.4732156
4560,944.3748,942.97253,0.5107699
4570,943.97595,942.7832,0.51109433
4580,944.427,943.0414,0.5269594
4590,944.2427,943.365,0.4602004
4600,944.85205,943.1267,0.5224595
4610,944.54297,943.4398,0.4934676
4620,944.7082,943.5901,0.47849858
4630,944.82916,943.63324,0.53422064
4640,944.5912,943.53656,0.49329045
4650,945.0549,943.573,0.45696646
4660,944.5281,943.37195,0.44324458
4670,944.5297,943.3844,0.51248926
4680,944.61414,943.15735,0.54732317
4690,945.13824,943.68286,0.5349611
4700,945.0661,943.6323,0.5443777
4710,944.2267,943.3095,0.45882064
4720,944.9879,943.74646,0.49157482
4730,944.97473,943.5423,0.53663075
4740,944.73517,943.5893,0.49934584
4750,944.9557,943.6542,0.48408994
4760,944.672,943.5332,0.5541219
4770,945.1897,943.75305,0.52994084
4780,944.972,943.73157,0.542903
4790,944.5516,943.2163,0.5188194
4800,945.07837,943.80914,0.52856374
4810,944.6111,943.5044,0.5221337
4820,945.36786,943.58545,0.48972872
4830,944.8381,943.54956,0.47483134
4840,944.9081,943.3903,0.5211343
4850,944.6311,943.49493,0.55913395
4860,944.7191,943.50476,0.5055913
4870,945.2842,943.9238,0.5648925
4880,945.9296,943.8606,0.53444654
4890,944.9504,944.1003,0.46345136
4900,945.01965,943.8289,0.5297389
4910,944.8568,943.8778,0.5195277
4920,945.2316,943.93335,0.511746
4930,944.993,944.00806,0.49001953
4940,945.35504,944.17444,0.5498184
4950,945.32587,944.0254,0.51278603
4960,945.28906,944.1554,0.54153305
4970,944.9787,944.20374,0.45328537
4980,945.1496,944.0161,0.4878549
4990,945.29504,944.03613,0.4745001
5000,945.4747,944.3181,0.5146775
5010,945.62885,944.2582,0.5679858
5020,945.74005,944.4396,0.52418864
5030,945.60187,944.3355,0.48411882
5040,945.858,944.47595,0.53981495
5050,945.9279,944.5032,0.54533195
5060,945.66187,944.2947,0.5118418
5070,945.39984,944.32184,0.45284736
5080,945.3363,944.1333,0.45207083
5090,945.6802,943.9601,0.49492374
5100,945.1728,944.0125,0.47768322
5110,945.42346,944.41876,0.51066536
5120,945.65643,944.3357,0.49881718
5130,945.4735,944.3037,0.48525006
5140,945.68854,944.7073,0.46102613
5150,945.6989,944.5681,0.48705727
5160,945.5776,944.5261,0.479164
5170,945.37555,944.0604,0.51225513
5180,945.4312,944.1843,0.49381
5190,945.3111,944.3134,0.44271058
5200,945.4225,944.4236,0.5174023
5210,945.84973,944.6981,0.50001353
5220,945.80286,944.5154,0.5626887
5230,946.21515,944.7256,0.46872714
5240,946.0495,944.9396,0.47806087
5250,945.98987,944.8529,0.4856599
5260,946.1175,944.8447,0.46939072
5270,945.7363,944.8109,0.45912036
5280,945.82904,944.91486,0.45063534
5290,946.1501,944.87366,0.4962188
5300,946.2879,945.0941,0.5257536
5310,946.19824,945.01874,0.47184673
5320,946.47186,944.95935,0.48657572
5330,946.5847,945.07837,0.49310827
5340,946.48816,945.0963,0.5089311
5350,946.1147,944.90607,0.5550106
5360,946.3029,945.22656,0.4544981
5370,946.6134,945.4962,0.5341591
5380,946.36255,945.2564,0.4846458
5390,946.61096,945.42755,0.5201042
5400,946.1875,945.2639,0.51503545
5410,946.3979,945.3071,0.47779864
5420,946.4022,945.20844,0.485643
5430,946.44385,945.3044,0.48697427
5440,946.6081,945.52344,0.45593297
5450,946.91113,945.5172,0.47046348
5460,946.45074,945.3915,0.4849031
5470,946.4668,945.38965,0.48953417
5480,946.43884,945.3495,0.45459858
5490,946.75775,945.29407,0.4955842
5500,946.8675,945.4886,0.47408867
5510,946.84436,945.34576,0.47932327
5520,946.29877,945.1666,0.49857077
5530,946.60443,945.2395,0.5241995
5540,946.6211,945.32306,0.5391885
5550,946.6722,945.50244,0.48768318
5560,947.2946,945.7722,0.484506
5570,947.03046,945.73755,0.49977127
5580,947.48517,945.7522,0.5086592
5590,947.40247,945.7132,0.4910395
5600,947.03015,945.82697,0.48381415
5610,946.78516,945.5913,0.47783127
5620,947.2801,945.93536,0.4955054
5630,947.10657,945.85645,0.45762303
5640,946.85754,945.8971,0.42947555
5650,946.9137,945.9757,0.4342831
5660,947.22174,945.96326,0.47666964
5670,947.1414,946.00977,0.4377256
5680,947.10724,946.0951,0.52572566
5690,946.97455,945.9971,0.4647302
5700,946.8642,945.7068,0.50652474
5710,946.9235,945.81976,0.5154611
5720,947.09406,945.9069,0.5079465
5730,947.15216,946.1031,0.4744357
5740,947.5197,946.17914,0.48749787
5750,946.9328,945.91125,0.4260621
5760,947.40625,946.2198,0.5214949
5770,947.38086,946.4083,0.45649543
5780,947.99036,946.4474,0.503666
5790,947.6008,946.2528,0.48994452
5800,947.3608,946.2268,0.4313376
5810,947.2808,946.2107,0.46132457
5820,947.7758,946.4933,0.4677114
5830,947.5546,946.18774,0.4840166
5840,947.6234,946.3984,0.47530803
5850,947.5022,946.4417,0.4509156
5860,947.5174,946.46924,0.47782823
5870,948.1633,946.35223,0.48071855
5880,947.6012,946.42096,0.4902091
5890,947.44995,946.181,0.47046664
5900,947.3272,946.2132,0.51564246
5910,947.65515,946.31464,0.4905662
5920,947.5742,946.3477,0.44155174
5930,947.76416,946.2936,0.48259073
5940,947.67175,946.5279,0.5158346
5950,947.84186,946.5699,0.47183394
5960,948.04224,946.9105,0.47120482
5970,948.23846,946.8845,0.4910922
5980,947.8018,946.8225,0.42281163
5990,948.1335,946.92505,0.46217477
6000,947.9731,946.754,0.4798916
6010,947.896,946.92017,0.44981906
6020,948.1778,946.954,0.46766356
6030,948.35675,947.0189,0.42944112
6040,948.4186,946.98926,0.52310777
6050,947.95416,946.9419,0.4898977
6060,948.00836,946.91907,0.4746249
6070,948.4076,946.92816,0.43478298
6080,947.7865,946.7868,0.450401
6090,947.8622,946.546,0.4722935
6100,947.9687,946.7614,0.46085343
6110,948.04675,946.78766,0.46073383
6120,948.11346,946.9363,0.49204525
6130,948.0143,946.94885,0.46205452
6140,947.991,947.0003,0.43722865
6150,948.1156,947.0456,0.4813382
6160,948.10126,947.0189,0.5214541
6170,948.00934,947.0392,0.45818555
6180,948.17084,947.15125,0.48056313
6190,948.15546,947.0365,0.44883192
6200,948.26276,946.8749,0.4981687
6210,948.14844,947.0803,0.4556095
6220,948.02466,947.0226,0.47791785
6230,948.36127,947.1869,0.49085778
6240,948.1654,947.0802,0.4824842
6250,948.2439,947.3165,0.4326398
6260,948.28705,947.432,0.42985955
6270,948.59985,947.45526,0.44397566
6280,948.42395,947.38403,0.48909873
6290,948.38416,947.4318,0.478882
6300,948.7112,947.4643,0.47324142
6310,948.7114,947.50037,0.5433818
6320,948.3418,947.26245,0.4434021
6330,948.6289,947.35986,0.46457708
6340,948.45496,947.4299,0.4806206
6350,948.66235,947.5117,0.43329194
6360,948.589,947.56836,0.45444065
6370,948.7973,947.5064,0.51294565
6380,948.58356,947.54456,0.4477128
6390,948.4347,947.3698,0.49127862
6400,948.2257,947.26794,0.4367228
6410,948.6372,947.4226,0.4624911
6420,948.5944,947.67395,0.45876575
6430,949.1449,947.8318,0.481871
6440,949.0393,947.80457,0.45545164
6450,948.8447,947.8051,0.4536426
6460,949.1268,948.05743,0.49913326
6470,949.20245,947.97577,0.45806998
6480,949.1097,947.93274,0.46637592
6490,948.83685,947.86475,0.458252
6500,948.9801,947.9309,0.4682777
6510,948.9124,947.9355,0.4913687
6520,949.0312,948.015,0.43471014
6530,949.3201,948.0711,0.4667098
6540,949.25653,948.054,0.44709197
6550,949.09686,948.19244,0.4465536
6560,949.33527,948.2368,0.41525435
6570,949.3753,948.37683,0.45956898
6580,949.2484,948.26843,0.465055
6590,949.55066,948.41345,0.4809156
6600,949.3517,948.4019,0.41923434
6610,949.5394,948.42944,0.4218349
6620,949.71985,948.53357,0.43854156
6630,949.771,948.532,0.41735393
6640,949.4809,948.4225,0.44982147
6650,950.14777,948.56647,0.47635198
