epoch,score_best,score_avg,score_std
10,5.0260468,4.306961,0.3106637
20,207.11406,146.63797,38.852104
30,299.95642,275.24634,10.462198
40,305.27075,304.4171,0.37975502
50,308.5286,308.10046,0.20199907
60,310.49213,310.16766,0.1561598
70,312.6883,312.32025,0.15359959
80,313.26782,312.665,0.21726775
90,313.69836,313.23938,0.17096786
100,314.3745,313.94815,0.14914833
110,314.76498,314.27856,0.17164296
120,315.82047,315.15936,0.29633933
130,336.46548,332.18387,1.7744281
140,338.38666,337.008,0.67801094
150,341.60907,340.59534,0.3768761
160,345.3585,344.08704,0.44745064
170,346.0338,345.27753,0.32624838
180,348.10382,347.07135,0.38436028
190,349.26343,348.59454,0.27955616
200,350.27536,349.55322,0.29127848
210,350.66904,350.09265,0.25915742
220,351.52808,350.74896,0.27606753
230,353.0232,351.91156,0.388592
240,355.67484,354.69562,0.6311227
250,356.61124,355.3196,0.43336606
260,358.59262,357.51364,0.37789398
270,359.27924,358.3371,0.29687467
280,360.37222,359.3463,0.39374474
290,360.70078,360.02295,0.31961793
300,360.99805,360.35876,0.28670502
310,361.5398,360.8275,0.3510335
320,362.10562,361.40857,0.25887385
330,362.2814,361.65076,0.289398
340,362.597,361.9742,0.29803213
350,362.6588,361.88303,0.2960539
360,363.0124,362.44223,0.26185113
370,363.09222,362.0076,2.8537114
380,363.7669,363.06555,0.24650796
390,363.74258,363.20142,0.30560642
400,363.85733,363.19775,0.29908472
410,363.89505,363.23108,1.3094643
420,364.02777,363.45886,0.2652937
430,364.3061,363.64575,0.29487845
440,364.83405,364.0944,0.33729956
450,364.64117,363.68414,0.6194575
460,364.75754,364.00635,0.44375506
470,369.7018,364.6161,0.88097614
480,372.52692,364.5724,1.5491709
490,372.94177,366.8346,2.7101567
500,372.54483,367.19626,2.8531163
510,372.59833,367.6609,2.8061588
520,371.95636,365.09448,1.6971091
530,372.35785,365.833,2.401613
540,375.89786,366.3755,2.7788558
550,373.35437,367.88776,2.7157934
560,373.62854,368.8615,2.283177
570,373.7623,369.31366,2.037853
580,376.09448,369.75677,2.0023751
590,376.89517,370.20834,2.0546703
600,377.12268,370.68506,2.2243226
610,375.59692,371.0794,1.7305304
620,376.95282,371.79266,1.8860414
630,376.32043,371.70422,1.8827201
640,377.81894,372.0757,2.0201447
650,378.28738,373.09033,1.7350785
660,379.1132,374.84454,1.9465085
670,379.08154,374.25568,1.8956764
680,380.0202,375.6808,1.756522
690,385.10028,378.92584,2.0923624
700,403.2338,390.35907,4.0219383
710,413.0702,397.66663,6.045509
720,437.30157,405.39423,9.857632
730,465.1794,412.05536,14.056093
740,467.30264,418.8356,16.693466
750,492.7488,439.16388,22.175234
760,500.6043,466.23697,19.736816
770,541.5804,501.7671,18.070766
780,569.95374,538.50354,13.843602
790,584.2146,565.4418,9.90116
800,598.4604,582.2412,8.432421
810,619.9865,599.0552,12.482703
820,636.08826,622.2257,10.634253
830,659.7101,643.04065,10.979489
840,667.2664,652.85974,8.158671
850,666.49084,653.7677,7.848052
860,670.6987,658.9011,6.312125
870,682.9309,671.17993,6.045149
880,701.11145,684.0177,9.841639
890,706.2711,692.495,8.682717
900,716.44916,701.845,9.011089
910,713.2375,701.11,7.8590693
920,718.5437,707.6809,6.970893
930,728.4582,713.928,6.890544
940,730.58484,718.48804,7.6636386
950,733.84247,721.5647,8.516113
960,738.1576,726.86444,6.3767138
970,743.3045,729.2262,6.2331443
980,744.5987,733.07983,7.5111184
990,749.2445,735.76917,7.3260174
1000,750.6561,739.10486,7.197972
1010,747.5303,739.24365,5.46111
1020,754.365,744.3362,5.531207
1030,757.2572,748.5641,4.742499
1040,758.20215,750.4647,4.741147
1050,758.60693,752.12256,4.9422865
1060,759.85443,753.00543,4.915355
1070,763.34753,754.8374,5.6424565
1080,766.23065,760.2078,4.6536036
1090,767.97363,761.79736,2.8573494
1100,768.519,763.47485,2.6400497
1110,772.28015,766.90155,3.0627115
1120,774.25446,769.3804,2.3016548
1130,775.2816,770.06067,4.9913845
1140,778.6885,774.5439,1.7082932
1150,781.3222,775.60626,2.4611278
1160,785.8283,779.27454,3.1172163
1170,784.7713,779.2622,2.1286998
1180,787.4587,782.50574,2.0413053
1190,787.94073,782.4219,4.6590457
1200,791.17334,785.45154,5.331602
1210,795.07416,790.4409,2.1727018
1220,796.70624,791.75195,1.8168546
1230,797.77625,793.09656,1.8199238
1240,798.9552,793.99585,1.9539986
1250,799.6734,794.31305,5.97159
1260,800.23846,795.92737,2.1703322
1270,801.12524,796.89734,1.6679937
1280,801.8482,797.827,1.7639837
1290,802.62317,799.1769,1.5985382
1300,803.41376,799.3133,3.5525715
1310,805.4315,800.7489,1.6300441
1320,804.5964,801.38763,1.7579448
1330,807.24524,803.2294,1.6947217
1340,810.195,805.2246,5.362992
1350,809.68463,806.3452,1.6522014
1360,811.32227,807.4276,1.5957118
1370,810.32837,806.7915,1.4890245
