epoch,score_best,score_avg,score_std
10,44.502026,16.505222,5.7524242
20,1795.8174,1554.6809,117.05042
30,1920.6189,1709.2014,116.15631
40,1950.0735,1404.117,270.49268
50,-150.80965,-250.89359,41.64344
60,-39.947613,-289.31363,112.28766
70,-179.42366,-335.942,82.5803
80,-86.14696,-329.83325,103.67925
90,-309.66077,-530.2366,82.19117
100,-173.56738,-355.947,92.245255
110,-300.6538,-562.007,95.924034
120,-72.01457,-356.8459,84.85179
130,1641.5947,1097.4294,199.06177
140,1160.2562,689.9844,234.50868
150,1602.7863,992.11755,214.41779
160,1402.5608,911.14465,145.66977
170,2039.6729,1595.1837,165.8457
180,1812.5955,1284.1398,192.07538
190,1838.2104,1246.7101,206.16702
200,1473.1223,1152.7303,156.95091
210,1948.8851,1585.6653,180.18135
220,2984.5625,2629.0146,125.4994
230,2209.081,1780.7395,163.7913
240,2645.538,2400.3264,138.5826
250,3203.4204,2907.6309,133.538
260,3218.2407,2885.6465,156.44832
270,3620.9736,3400.838,106.20908
280,3513.8933,3297.6172,96.05671
290,3343.234,3079.585,115.06736
300,4072.9546,3823.0752,96.565056
310,4384.885,4105.658,110.6743
320,4125.168,3909.9993,104.503494
330,4255.9434,3964.5337,118.83182
340,3988.175,3754.931,114.54354
350,4502.168,4250.09,107.14571
360,4515.843,4257.342,105.54732
370,4565.5273,4328.2744,103.345924
380,4536.323,4308.3525,108.39472
390,4638.693,4418.1685,78.97645
400,4677.8003,4440.86,84.887
410,4886.0864,4680.881,78.14267
420,4930.071,4653.2734,82.50581
430,5016.6055,4712.434,84.64117
440,4996.052,4795.763,75.58907
450,5013.986,4801.126,85.23498
460,4964.4087,4791.202,84.26257
470,5012.052,4796.8267,86.49916
480,5021.217,4799.734,87.340775
490,5045.8975,4860.0723,70.000755
500,5096.313,4922.7256,71.87057
510,5198.634,5004.3667,74.53775
520,5283.5522,5085.343,71.06574
530,5240.9805,5089.374,68.82625
540,5312.2524,5140.501,71.15515
550,5362.8813,5148.16,74.20966
560,5345.079,5181.7925,78.11304
570,5295.694,5104.5044,81.001816
580,5403.1006,5263.9717,71.98996
590,5612.282,5301.814,98.68883
600,5535.954,5299.701,94.274605
610,5629.3916,5295.9287,112.34337
620,5651.606,5407.4287,98.65271
630,5668.6455,5394.2354,105.71556
640,5656.4126,5378.1523,86.52157
650,5655.872,5406.332,97.90984
660,5658.5894,5469.801,86.14704
670,5704.711,5410.5283,90.45643
680,5750.9023,5500.8955,88.03449
690,5713.4453,5506.9546,82.938644
700,5595.691,5401.6533,85.14011
710,5735.563,5528.461,85.08362
720,5640.35,5453.4634,75.46235
730,5721.8945,5520.868,87.36383
740,5769.81,5463.2686,81.718956
750,5588.877,5442.6084,67.94547
760,5820.0205,5570.2764,87.238144
770,5804.9487,5601.793,87.36592
780,5812.5723,5625.9297,80.01021
790,5956.5254,5722.659,78.645325
800,5955.4683,5789.297,77.319855
810,5952.4717,5763.295,76.31698
820,6249.1836,6010.7437,108.12561
830,6290.411,5928.994,104.24942
840,6226.5493,5961.507,99.040825
850,6348.9424,6042.6406,100.81115
860,6238.2476,6033.6504,95.21131
870,6379.929,6121.8306,101.651634
880,6382.107,6156.8877,83.22383
890,6493.6875,6237.5103,104.68054
900,6510.918,6250.3105,97.62065
910,6533.2236,6291.755,112.29236
920,6629.6064,6413.288,99.45528
930,6718.8604,6432.1235,110.93834
940,6718.4453,6442.1377,113.237335
950,6781.3364,6493.3984,119.609436
960,6846.669,6536.3037,128.64241
970,7002.419,6743.956,130.548
980,7173.0645,6782.552,133.8209
990,7207.2764,6874.142,119.37022
1000,7239.5625,6922.84,104.9243
1010,7259.3716,6949.8203,118.45978
1020,7321.456,7027.7246,117.51404
1030,7668.6406,7180.621,128.3032
1040,7794.0845,7384.176,134.73947
1050,7723.925,7415.5195,149.5608
1060,7968.3535,7556.866,158.11392
1070,7978.9404,7655.128,136.90498
1080,8086.3403,7741.4004,144.84169
1090,8329.049,7945.6035,159.83429
1100,8431.121,8069.0166,160.36353
1110,8653.283,8284.143,165.3794
1120,8969.502,8481.401,192.36528
1130,9064.247,8600.578,186.48355
1140,9144.055,8630.807,204.88771
1150,9091.289,8759.5205,185.21815
1160,9420.981,8840.303,177.74446
1170,9615.027,9085.543,210.04292
1180,9580.619,9111.64,203.08432
1190,9658.087,9230.756,207.02527
1200,9990.0,9386.059,216.78224
1210,10217.506,9642.578,222.90895
1220,10425.582,9672.023,230.16313
1230,10206.069,9777.117,189.961
1240,10366.179,9936.037,209.62195
1250,10442.66,9963.305,202.35216
1260,10522.447,9982.961,193.99693
1270,10635.485,10060.719,202.18224
1280,10571.711,9871.141,268.357
1290,10805.113,10168.146,244.04254
1300,10792.18,10355.918,187.55542
1310,10998.216,10407.605,214.09975
1320,10893.497,10432.785,190.37125
1330,11043.059,10583.492,187.76845
1340,11125.721,10664.131,205.29027
1350,11155.381,10782.044,199.53595
1360,11239.705,10727.41,181.2899
1370,11031.726,10641.527,179.22388
1380,11072.355,10671.862,166.09799
1390,11149.23,10794.338,168.5377
1400,11599.071,10848.956,249.87772
1410,11369.618,10880.719,215.58582
1420,11420.229,10925.121,195.9863
1430,11365.183,10736.249,192.66263
1440,11438.593,10763.369,207.5095
1450,11519.833,10984.521,206.01398
1460,11435.267,10985.766,191.63226
1470,11428.047,10990.379,200.81505
1480,11435.91,10956.885,190.95296
1490,11620.881,11094.0,186.09879
1500,11576.704,11090.9,182.08275
1510,11782.258,11179.757,208.37778
1520,11665.869,11118.6875,197.59265
1530,11655.455,11176.888,204.9685
1540,11737.916,11128.021,190.47908
1550,11710.166,11077.466,203.2829
1560,11555.622,11105.779,201.88277
1570,11635.36,10998.906,229.61154
1580,11527.767,11003.908,190.00703
1590,11533.889,11026.236,213.29001
1600,11515.045,10957.211,190.82944
1610,11683.102,11145.218,193.77791
1620,11661.182,11114.015,224.14082
1630,11688.982,11209.764,228.96489
1640,11639.931,11149.12,209.3816
1650,11795.648,11278.307,219.12811
1660,11786.94,11211.464,219.84213
1670,11766.205,11256.948,184.05444
1680,11796.091,11266.467,217.17702
1690,11748.736,11213.803,222.90855
1700,11754.414,11232.801,207.78749
1710,11872.638,11236.093,205.8857
1720,11980.921,11407.428,221.17302
1730,11899.727,11373.148,230.33089
1740,11863.367,11414.334,191.26099
1750,11845.517,11434.201,183.13954
1760,11839.053,11460.928,187.14052
1770,12098.241,11428.071,202.90479
1780,11906.471,11417.546,189.6066
1790,12015.981,11485.348,198.15141
1800,11981.308,11410.253,176.05089
1810,11900.385,11462.672,168.95848
1820,11923.514,11442.9,200.03392
1830,11928.6,11442.72,198.93129
1840,11910.554,11474.014,166.6604
1850,11891.698,11435.342,198.88585
1860,11919.078,11399.361,189.50629
1870,11828.814,11333.744,217.10744
1880,11965.317,11414.0625,217.11537
1890,12138.897,11484.6,181.36546
1900,11850.943,11499.612,186.9464
1910,11956.855,11485.807,213.35493
1920,12023.013,11538.828,232.08002
1930,12225.176,11571.045,208.03017
1940,12032.902,11571.238,184.20276
1950,12017.074,11578.881,199.57616
1960,12004.207,11561.953,176.90945
1970,12080.7705,11551.578,196.7305
1980,12057.538,11538.932,210.79843
1990,12066.066,11503.335,174.97824
