epoch,score_best,score_avg,score_std
10,582.26965,498.22165,34.520054
20,943.1083,284.34756,231.38014
30,195.14673,-185.65637,120.04008
40,704.2367,251.11871,183.02292
50,473.17755,117.124886,163.49295
60,630.2628,221.73383,192.0651
70,457.20148,125.852875,153.6561
80,569.87085,300.88757,115.473305
90,643.06213,464.9343,105.330185
100,-97.0634,-263.05606,62.368427
110,167.34702,-141.29715,147.58443
120,547.8767,252.40219,163.5617
130,565.03436,117.58437,169.63254
140,697.8971,222.97362,216.0884
150,783.5588,237.43893,223.97754
160,968.48804,598.54456,147.2763
170,1571.897,1282.5254,145.47977
180,1347.3286,935.1046,177.02194
190,1593.4347,1239.0139,147.13689
200,1211.0287,706.5773,180.85553
210,1566.2483,1149.5212,164.4043
220,1992.2043,1610.2612,148.32217
230,1660.2528,1247.5961,170.83344
240,1986.4817,1535.326,197.34181
250,2117.1194,1818.3496,159.21918
260,1900.313,1420.95,219.20117
270,2547.1462,2269.8096,133.90688
280,3181.9028,2719.0205,168.3485
290,2971.8945,2596.5938,164.8975
300,3046.0095,2762.588,138.3145
310,2985.502,2593.0798,180.21277
320,3078.6394,2736.2527,169.53835
330,2817.0337,2468.9482,156.9635
340,3099.1768,2738.4998,168.87167
350,2868.9478,2615.5803,131.34377
360,3481.435,3090.4302,150.57274
370,3712.7607,3236.3088,152.5989
380,3576.2964,3300.1885,129.73834
390,3441.6924,3083.7036,160.82224
400,3867.167,3543.2598,112.51703
410,3959.7812,3583.9639,139.85707
420,3746.833,3427.233,131.65884
430,4332.3057,3985.9624,126.40673
440,3940.062,3581.3657,150.69727
450,4207.0737,3893.8145,125.31761
460,3807.7195,3495.8066,147.87305
470,4250.496,3810.7085,157.8501
480,4095.5273,3775.0024,148.15802
490,4395.624,3938.4302,160.04211
500,4373.6357,4093.6895,121.69035
510,4635.729,4419.3975,106.16458
520,4524.356,4233.7104,129.17867
530,4551.971,4282.7607,141.47581
540,4657.0547,4313.9814,153.39322
550,4872.4116,4651.915,112.081726
560,4958.358,4658.8823,99.40511
570,4874.7065,4546.251,125.78053
580,4870.3564,4596.7607,121.93264
590,4984.9033,4673.182,123.77391
600,5120.3916,4798.189,114.66454
610,5232.3975,4967.425,87.27689
620,5208.96,4971.2627,98.679436
630,5266.3003,4957.9053,117.73607
640,5265.597,5023.624,103.169624
650,5252.205,5021.052,95.670006
660,5305.9795,5030.5044,95.64457
670,5184.4297,4970.747,96.01595
680,5244.4424,4944.527,118.13481
690,5379.457,5174.505,101.27492
700,5391.7163,5139.154,94.8298
710,5404.27,5191.791,92.02814
720,5398.795,5173.2256,100.95511
730,5363.637,5124.5645,93.459625
740,5341.93,5068.2256,105.28794
750,5481.846,5196.2783,99.305016
760,5396.05,5148.4424,106.67661
770,5372.107,5153.2036,97.069046
780,5529.251,5202.0537,100.0922
790,5531.5938,5230.0024,106.4672
800,5587.623,5308.1396,93.04364
810,5540.8643,5259.876,93.20326
820,5563.501,5293.2764,105.424934
830,5547.8125,5289.911,98.34597
840,5557.5635,5323.08,99.796646
850,5558.8105,5338.16,85.05923
860,5573.009,5361.4043,106.767
870,5572.657,5395.0337,85.16261
880,5560.921,5363.336,103.23617
890,5617.625,5377.565,97.87161
900,5599.1562,5349.8906,106.636284
910,5588.581,5366.21,99.71991
920,5649.7314,5447.2373,101.75657
930,5653.423,5436.5093,97.50553
940,5760.54,5498.8955,86.922195
950,5788.897,5557.6943,88.77657
960,5821.0,5566.438,109.849434
970,5790.754,5571.0825,103.3785
980,5843.787,5620.287,112.09222
