epoch,score_best,score_avg,score_std
10,-0.013356797,-0.031047083,0.007732946
20,0.14963768,0.01734996,0.012027495
30,0.662653,0.18438193,0.14669476
40,1.1654935,0.48931563,0.26081568
50,2.7156765,1.6257747,0.4738733
60,3.8622983,2.259521,0.51389146
70,5.0731235,2.952462,0.7394804
80,5.184915,3.2553766,0.8454264
90,7.0282397,4.038062,1.1618483
100,8.295497,4.722213,1.3106472
110,9.517079,6.1075473,1.2397399
120,11.771657,8.771817,1.1355946
130,15.033104,12.186766,1.016477
140,18.624008,15.974806,1.11826
150,22.098242,19.353056,1.1186645
160,25.24504,21.746748,1.2760319
170,27.180302,24.225885,1.1512998
180,29.761372,26.149057,1.2263603
190,32.309593,28.416553,1.2305316
200,31.906849,29.478397,1.2758979
210,35.41028,31.771093,1.1085747
220,35.412357,32.9545,1.090097
230,37.57859,34.107716,1.3304802
240,39.07461,35.34388,1.2201949
250,39.813137,36.330734,1.2386272
260,40.02979,37.834312,1.169152
270,41.552013,38.735332,1.1084563
280,43.870255,39.946503,1.2785945
290,44.656742,40.75931,1.3287706
300,45.716885,41.8356,1.283403
310,46.284718,42.707047,1.2714022
320,47.31813,43.745308,1.2025195
330,48.26838,44.867157,1.143594
340,51.13565,45.78492,1.3540529
350,49.30492,46.361557,1.2851079
360,50.38594,47.324493,1.1691235
370,51.458828,47.989384,1.2765399
380,51.662495,48.39068,1.225704
390,52.63437,49.367706,1.3549262
400,53.360134,50.152542,1.2547011
410,54.032215,51.022762,1.3140395
420,56.110584,53.263847,1.2433354
430,57.336918,54.474983,1.1704997
440,58.58246,55.31637,1.0442008
450,59.034935,56.61089,1.0706462
460,59.9528,57.43511,1.0345166
470,60.482117,58.097008,1.0637985
480,62.22435,58.71139,1.078851
490,61.945164,59.35849,1.0635426
500,62.328472,59.90592,1.0697588
510,62.785683,60.48771,1.0639693
520,64.274925,61.291107,1.1517498
530,65.15805,62.040894,1.1571909
540,64.9881,62.43982,1.0449877
550,65.3595,63.136566,1.0962253
560,65.61682,63.400852,1.0830728
570,66.20175,63.764847,1.1242318
580,66.77605,64.2471,1.1370788
590,67.24055,64.79108,1.1730937
600,67.67992,65.17158,1.0665036
610,68.31474,65.55867,1.1133122
620,67.92793,65.9644,0.9461185
630,68.51564,66.56414,1.0318395
640,69.650635,66.941,1.123624
650,70.25983,67.26117,1.1774337
660,70.35181,67.84909,1.0513809
670,70.63085,68.38754,1.1227899
680,72.21749,68.86644,1.0862004
690,73.036835,69.00992,1.3028119
700,72.08812,69.34765,1.1397039
710,72.46922,69.6138,1.0352176
720,73.059074,70.36015,1.1081113
730,73.329865,70.58032,1.1285595
740,74.22804,70.724915,1.26025
750,74.72096,71.30769,1.1867285
760,75.19625,71.34268,1.1271619
770,74.96314,71.94222,1.183398
780,75.56583,72.05742,1.2293186
790,75.65072,72.444916,1.0703022
800,75.590225,72.75583,1.0749654
810,75.77187,72.99713,1.1692326
820,76.79999,73.393005,1.095077
830,76.69708,73.45723,1.0850649
840,78.45276,73.69658,1.2508428
850,78.350464,74.27876,1.1034775
860,77.39832,74.3309,1.1385075
870,78.39398,74.65051,1.1593533
880,79.32153,74.83636,1.2169352
890,77.82699,74.85488,1.2458179
900,78.63515,75.49279,1.238935
910,78.881874,75.36522,1.1833515
920,79.05023,76.04448,1.1984779
930,79.64105,76.15637,1.3353933
940,79.28084,76.44768,1.2447041
950,79.45063,76.655304,1.2336563
960,80.578835,77.06609,1.1722261
970,80.54648,77.26624,1.1641171
980,80.04972,77.34319,1.2233529
990,80.496414,77.61465,1.2283611
1000,80.693115,77.82046,1.0860189
1010,81.160446,77.98532,1.2339915
1020,81.97604,78.32794,1.2971176
1030,81.11023,78.423615,1.1995064
1040,81.403336,78.38631,1.192916
